#Energy      C-K-shell   N-K-shell   O-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.2000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.3000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.4000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.5000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.6000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.7000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.8000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          0.9000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          1.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          2.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          3.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          4.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          5.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          6.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          7.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          8.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
          9.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
         10.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
         11.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.11111111E+29          1.00000000E+30
         12.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.89434220E+02          7.89434220E+02
         13.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.55917015E+02          6.55917015E+02
         14.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.95623309E+02          5.95623309E+02
         15.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.16087964E+02          6.16087964E+02
         16.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.39843928E+02          6.39843928E+02
         17.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.29684178E+02          6.29684178E+02
         18.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.51053271E+02          6.51053271E+02
         19.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.71947937E+02          6.71947937E+02
         20.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.97202264E+02          6.97202264E+02
         21.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.14691323E+02          7.14691323E+02
         22.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.39733231E+02          7.39733231E+02
