#Energy      Au   H  Total
          0.1000          1.39890387E+05          1.22104335E+00          1.22103269E+00
          0.2000          6.99916365E+04          1.12494465E+00          1.12492657E+00
          0.3000          4.66848959E+04          1.09411890E+00          1.09409326E+00
          0.4000          3.50287517E+04          1.08340334E+00          1.08336983E+00
          0.5000          2.80336496E+04          1.08189350E+00          1.08185174E+00
          0.6000          2.33694116E+04          1.08547751E+00          1.08542709E+00
          0.7000          2.00372707E+04          1.09221957E+00          1.09216003E+00
          0.8000          1.75377898E+04          1.10107482E+00          1.10100569E+00
          0.9000          1.55934771E+04          1.11142400E+00          1.11134479E+00
          1.0000          1.40378223E+04          1.12287409E+00          1.12278428E+00
          2.0000          7.03395140E+03          1.26453619E+00          1.26430890E+00
          3.0000          4.69712831E+03          1.42349635E+00          1.42306508E+00
          4.0000          3.52787845E+03          1.58772974E+00          1.58701550E+00
          5.0000          2.82590775E+03          1.75432376E+00          1.75323535E+00
          6.0000          2.35768277E+03          1.92218796E+00          1.92062210E+00
          7.0000          2.02308052E+03          2.09081490E+00          2.08865631E+00
          8.0000          1.77202293E+03          2.25993458E+00          2.25705606E+00
          9.0000          1.57668047E+03          2.42938955E+00          2.42565205E+00
         10.0000          1.42035080E+03          2.59908163E+00          2.59433429E+00
         11.0000          1.29240236E+03          2.76894638E+00          2.76302665E+00
         12.0000          1.18574573E+03          2.93893980E+00          2.93167347E+00
         13.0000          1.09547172E+03          3.10903082E+00          3.10023213E+00
         14.0000          1.01807297E+03          3.27919694E+00          3.26866861E+00
         15.0000          9.50976888E+02          3.44942146E+00          3.43695480E+00
         16.0000          8.92253638E+02          3.61969179E+00          3.60506676E+00
         17.0000          8.40427175E+02          3.78999823E+00          3.77298355E+00
         18.0000          7.94349250E+02          3.96033326E+00          3.94068645E+00
         19.0000          7.53113186E+02          4.13069092E+00          4.10815841E+00
         20.0000          7.15993514E+02          4.30106650E+00          4.27538371E+00
         21.0000          6.82402852E+02          4.47145616E+00          4.44234761E+00
         22.0000          6.51860533E+02          4.64185684E+00          4.60903619E+00
         23.0000          6.23969422E+02          4.81226601E+00          4.77543621E+00
         24.0000          5.98398522E+02          4.98268160E+00          4.94153494E+00
         25.0000          5.74869753E+02          5.15310188E+00          5.10732013E+00
         26.0000          5.53147781E+02          5.32352544E+00          5.27277991E+00
         27.0000          5.33032109E+02          5.49395109E+00          5.43790274E+00
         28.0000          5.14350857E+02          5.66437783E+00          5.60267738E+00
         29.0000          4.96955831E+02          5.83480483E+00          5.76709286E+00
         30.0000          4.80718582E+02          6.00523138E+00          5.93113843E+00
         31.0000          4.65527218E+02          6.17565689E+00          6.09480358E+00
         32.0000          4.51283822E+02          6.34608085E+00          6.25807799E+00
         33.0000          4.37902333E+02          6.51650284E+00          6.42095152E+00
         34.0000          4.25306808E+02          6.68692250E+00          6.58341421E+00
         35.0000          4.13429973E+02          6.85733952E+00          6.74545628E+00
         36.0000          4.02212023E+02          7.02775364E+00          6.90706810E+00
         37.0000          3.91599611E+02          7.19816464E+00          7.06824021E+00
         38.0000          3.81545000E+02          7.36857234E+00          7.22896328E+00
         39.0000          3.72005347E+02          7.53897659E+00          7.38922815E+00
         40.0000          3.62942085E+02          7.70937725E+00          7.54902580E+00
         41.0000          3.54320408E+02          7.87977421E+00          7.70834735E+00
         42.0000          3.46108822E+02          8.05016739E+00          7.86718405E+00
         43.0000          3.38278758E+02          8.22055671E+00          8.02552732E+00
         44.0000          3.30804243E+02          8.39094212E+00          8.18336868E+00
         45.0000          3.23661609E+02          8.56132356E+00          8.34069983E+00
         46.0000          3.16829244E+02          8.73170100E+00          8.49751258E+00
         47.0000          3.10287375E+02          8.90207441E+00          8.65379888E+00
         48.0000          3.04017873E+02          9.07244377E+00          8.80955082E+00
         49.0000          2.98004088E+02          9.24280907E+00          8.96476064E+00
         50.0000          2.92230702E+02          9.41317031E+00          9.11942068E+00
         51.0000          2.86683594E+02          9.58352747E+00          9.27352345E+00
         52.0000          2.81349731E+02          9.75388057E+00          9.42706159E+00
         53.0000          2.76217061E+02          9.92422961E+00          9.58002786E+00
         54.0000          2.71274424E+02          1.00945746E+01          9.73241517E+00
         55.0000          2.66511471E+02          1.02649156E+01          9.88421657E+00
         56.0000          2.61918591E+02          1.04352525E+01          1.00354252E+01
         57.0000          2.57486846E+02          1.06055854E+01          1.01860345E+01
         58.0000          2.53207916E+02          1.07759144E+01          1.03360377E+01
         59.0000          2.49074042E+02          1.09462394E+01          1.04854286E+01
