#Energy      Au   C  Total
          0.1000          2.48952582E+05          3.89545285E+01          3.89484341E+01
          0.2000          1.24558942E+05          2.15195600E+01          2.15158428E+01
          0.3000          8.30816587E+04          1.54473697E+01          1.54444981E+01
          0.4000          6.23380805E+04          1.23119953E+01          1.23095641E+01
          0.5000          4.98894142E+04          1.03810316E+01          1.03788719E+01
          0.6000          4.15888146E+04          9.06491856E+00          9.06294316E+00
          0.7000          3.56588496E+04          8.10656686E+00          8.10472436E+00
          0.8000          3.12107083E+04          7.37546330E+00          7.37372081E+00
          0.9000          2.77505587E+04          6.79810328E+00          6.79643834E+00
          1.0000          2.49820749E+04          6.32982999E+00          6.32822658E+00
          2.0000          1.25178034E+04          4.12679578E+00          4.12543573E+00
          3.0000          8.35913209E+03          3.34621065E+00          3.34487168E+00
          4.0000          6.27830454E+03          2.94974785E+00          2.94836261E+00
          5.0000          5.02905916E+03          2.71544887E+00          2.71398345E+00
          6.0000          4.19579377E+03          2.56574018E+00          2.56417218E+00
          7.0000          3.60032687E+03          2.46608976E+00          2.46440174E+00
          8.0000          3.15353823E+03          2.39866990E+00          2.39684679E+00
          9.0000          2.80590171E+03          2.35329728E+00          2.35132523E+00
         10.0000          2.52769334E+03          2.32370996E+00          2.32157573E+00
         11.0000          2.29999296E+03          2.30583442E+00          2.30352505E+00
         12.0000          2.11018404E+03          2.29690040E+00          2.29440298E+00
         13.0000          1.94953005E+03          2.29495490E+00          2.29225650E+00
         14.0000          1.81178922E+03          2.29857954E+00          2.29566708E+00
         15.0000          1.69238328E+03          2.30671810E+00          2.30357833E+00
         16.0000          1.58787785E+03          2.31856712E+00          2.31518656E+00
         17.0000          1.49564613E+03          2.33350403E+00          2.32986898E+00
         18.0000          1.41364465E+03          2.35103868E+00          2.34713515E+00
         19.0000          1.34025987E+03          2.37077962E+00          2.36659337E+00
         20.0000          1.27420074E+03          2.39241037E+00          2.38792686E+00
         21.0000          1.21442192E+03          2.41567215E+00          2.41087654E+00
         22.0000          1.16006801E+03          2.44035121E+00          2.43522840E+00
         23.0000          1.11043226E+03          2.46626945E+00          2.46080401E+00
         24.0000          1.06492562E+03          2.49327722E+00          2.48745342E+00
         25.0000          1.02305321E+03          2.52124782E+00          2.51504965E+00
         26.0000          9.84396224E+02          2.55007327E+00          2.54348438E+00
         27.0000          9.48597849E+02          2.57966094E+00          2.57266472E+00
         28.0000          9.15352204E+02          2.60993094E+00          2.60251044E+00
         29.0000          8.84395564E+02          2.64081398E+00          2.63295196E+00
         30.0000          8.55499332E+02          2.67224964E+00          2.66392855E+00
         31.0000          8.28464384E+02          2.70418504E+00          2.69538704E+00
         32.0000          8.03116464E+02          2.73657366E+00          2.72728061E+00
         33.0000          7.79302417E+02          2.76937444E+00          2.75956788E+00
         34.0000          7.56887092E+02          2.80255099E+00          2.79221217E+00
         35.0000          7.35750767E+02          2.83607093E+00          2.82518081E+00
