#Energy      C-K-shell   Valence  Total
          0.1000          1.00000000E+30          4.35971137E+02          4.35971137E+02
          0.2000          1.00000000E+30          2.76915518E+02          2.76915518E+02
          0.3000          1.00000000E+30          2.02916075E+02          2.02916075E+02
          0.4000          1.00000000E+30          1.61732371E+02          1.61732371E+02
          0.5000          1.00000000E+30          1.34940457E+02          1.34940457E+02
          0.6000          1.00000000E+30          1.16187650E+02          1.16187650E+02
          0.7000          1.00000000E+30          1.02345137E+02          1.02345137E+02
          0.8000          1.00000000E+30          9.17109507E+01          9.17109507E+01
          0.9000          1.00000000E+30          8.33006242E+01          8.33006242E+01
          1.0000          1.00000000E+30          7.64635422E+01          7.64635422E+01
          2.0000          1.00000000E+30          4.43612791E+01          4.43612791E+01
          3.0000          1.00000000E+30          3.28684196E+01          3.28684196E+01
          4.0000          1.00000000E+30          2.67933155E+01          2.67933155E+01
          5.0000          1.00000000E+30          2.29596246E+01          2.29596246E+01
          6.0000          1.00000000E+30          2.02795286E+01          2.02795286E+01
          7.0000          1.00000000E+30          1.82764928E+01          1.82764928E+01
          8.0000          1.00000000E+30          1.67069072E+01          1.67069072E+01
          9.0000          1.00000000E+30          1.54327884E+01          1.54327884E+01
         10.0000          1.00000000E+30          1.43698397E+01          1.43698397E+01
         11.0000          1.00000000E+30          1.34636306E+01          1.34636306E+01
         12.0000          1.00000000E+30          1.26774007E+01          1.26774007E+01
         13.0000          1.00000000E+30          1.19854579E+01          1.19854579E+01
         14.0000          1.00000000E+30          1.13693016E+01          1.13693016E+01
         15.0000          1.00000000E+30          1.08153424E+01          1.08153424E+01
         16.0000          1.00000000E+30          1.03134258E+01          1.03134258E+01
         17.0000          1.00000000E+30          9.85584544E+00          9.85584544E+00
         18.0000          1.00000000E+30          9.43670862E+00          9.43670862E+00
         19.0000          1.00000000E+30          9.05147026E+00          9.05147026E+00
         20.0000          1.00000000E+30          8.69660399E+00          8.69660399E+00
         21.0000          1.00000000E+30          8.36935720E+00          8.36935720E+00
         22.0000          1.00000000E+30          8.06756392E+00          8.06756392E+00
         23.0000          1.00000000E+30          7.78949040E+00          7.78949040E+00
         24.0000          1.00000000E+30          7.53371248E+00          7.53371248E+00
         25.0000          1.00000000E+30          7.29901750E+00          7.29901750E+00
         26.0000          1.00000000E+30          7.08432338E+00          7.08432338E+00
         27.0000          1.00000000E+30          6.88861718E+00          6.88861718E+00
         28.0000          1.00000000E+30          6.71091190E+00          6.71091190E+00
         29.0000          1.00000000E+30          6.55021922E+00          6.55021922E+00
         30.0000          1.00000000E+30          6.40553782E+00          6.40553782E+00
         31.0000          1.00000000E+30          6.27585240E+00          6.27585240E+00
         32.0000          1.00000000E+30          6.16014153E+00          6.16014153E+00
         33.0000          1.00000000E+30          6.05738922E+00          6.05738922E+00
         34.0000          1.00000000E+30          5.96659887E+00          5.96659887E+00
         35.0000          1.00000000E+30          5.88680615E+00          5.88680615E+00
         36.0000          1.00000000E+30          5.81708997E+00          5.81708997E+00
         37.0000          1.00000000E+30          5.75658066E+00          5.75658066E+00
         38.0000          1.00000000E+30          5.70446540E+00          5.70446540E+00
         39.0000          1.00000000E+30          5.65999089E+00          5.65999089E+00
         40.0000          1.00000000E+30          5.62246399E+00          5.62246399E+00
         41.0000          1.00000000E+30          5.59125050E+00          5.59125050E+00
         42.0000          1.00000000E+30          5.56577284E+00          5.56577284E+00
         43.0000          1.00000000E+30          5.54550682E+00          5.54550682E+00
         44.0000          1.00000000E+30          5.52997802E+00          5.52997802E+00
         45.0000          1.00000000E+30          5.51875778E+00          5.51875778E+00
         46.0000          1.00000000E+30          5.51145939E+00          5.51145939E+00
         47.0000          1.00000000E+30          5.50773417E+00          5.50773417E+00
         48.0000          1.00000000E+30          5.50726785E+00          5.50726785E+00
         49.0000          1.00000000E+30          5.50977720E+00          5.50977720E+00
         50.0000          1.00000000E+30          5.51500683E+00          5.51500683E+00
         51.0000          1.00000000E+30          5.52272632E+00          5.52272632E+00
         52.0000          1.00000000E+30          5.53272767E+00          5.53272767E+00
         53.0000          1.00000000E+30          5.54482291E+00          5.54482291E+00
         54.0000          1.00000000E+30          5.55884197E+00          5.55884197E+00
         55.0000          1.00000000E+30          5.57463088E+00          5.57463088E+00
         56.0000          1.00000000E+30          5.59204997E+00          5.59204997E+00
         57.0000          1.00000000E+30          5.61097253E+00          5.61097253E+00
         58.0000          1.00000000E+30          5.63128330E+00          5.63128330E+00
         59.0000          1.00000000E+30          5.65287737E+00          5.65287737E+00
         60.0000          1.00000000E+30          5.67565920E+00          5.67565920E+00
         61.0000          1.00000000E+30          5.69954150E+00          5.69954150E+00
         62.0000          1.00000000E+30          5.72444457E+00          5.72444457E+00
         63.0000          1.00000000E+30          5.75029543E+00          5.75029543E+00
         64.0000          1.00000000E+30          5.77702723E+00          5.77702723E+00
         65.0000          1.00000000E+30          5.80457866E+00          5.80457866E+00
         66.0000          1.00000000E+30          5.83289336E+00          5.83289336E+00
         67.0000          1.00000000E+30          5.86191951E+00          5.86191951E+00
         68.0000          1.00000000E+30          5.89160940E+00          5.89160940E+00
         69.0000          1.00000000E+30          5.92191902E+00          5.92191902E+00
         70.0000          1.00000000E+30          5.95280775E+00          5.95280775E+00
         71.0000          1.00000000E+30          5.98423805E+00          5.98423805E+00
         72.0000          1.00000000E+30          6.01617520E+00          6.01617520E+00
         73.0000          1.00000000E+30          6.04858701E+00          6.04858701E+00
         74.0000          1.00000000E+30          6.08144367E+00          6.08144367E+00
         75.0000          1.00000000E+30          6.11471747E+00          6.11471747E+00
         76.0000          1.00000000E+30          6.14838269E+00          6.14838269E+00
         77.0000          1.00000000E+30          6.18241541E+00          6.18241541E+00
         78.0000          1.00000000E+30          6.21679334E+00          6.21679334E+00
         79.0000          1.00000000E+30          6.25149572E+00          6.25149572E+00
         80.0000          1.00000000E+30          6.28650318E+00          6.28650318E+00
         81.0000          1.00000000E+30          6.32179765E+00          6.32179765E+00
         82.0000          1.00000000E+30          6.35736222E+00          6.35736222E+00
         83.0000          1.00000000E+30          6.39318111E+00          6.39318111E+00
         84.0000          1.00000000E+30          6.42923953E+00          6.42923953E+00
         85.0000          1.00000000E+30          6.46552362E+00          6.46552362E+00
         86.0000          1.00000000E+30          6.50202039E+00          6.50202039E+00
         87.0000          1.00000000E+30          6.53871767E+00          6.53871767E+00
         88.0000          1.00000000E+30          6.57560402E+00          6.57560402E+00
         89.0000          1.00000000E+30          6.61266869E+00          6.61266869E+00
         90.0000          1.00000000E+30          6.64990158E+00          6.64990158E+00
         91.0000          1.00000000E+30          6.68729318E+00          6.68729318E+00
         92.0000          1.00000000E+30          6.72483455E+00          6.72483455E+00
         93.0000          1.00000000E+30          6.76251724E+00          6.76251724E+00
         94.0000          1.00000000E+30          6.80033332E+00          6.80033332E+00
         95.0000          1.00000000E+30          6.83827528E+00          6.83827528E+00
         96.0000          1.00000000E+30          6.87633606E+00          6.87633606E+00
         97.0000          1.00000000E+30          6.91450896E+00          6.91450896E+00
         98.0000          1.00000000E+30          6.95278768E+00          6.95278768E+00
         99.0000          1.00000000E+30          6.99116625E+00          6.99116625E+00
        100.0000          1.00000000E+30          7.02963902E+00          7.02963902E+00
        110.0000          1.00000000E+30          7.41850001E+00          7.41850001E+00
        120.0000          1.00000000E+30          7.81234327E+00          7.81234327E+00
        130.0000          1.00000000E+30          8.20868050E+00          8.20868050E+00
        140.0000          1.00000000E+30          8.60596511E+00          8.60596511E+00
        150.0000          1.00000000E+30          9.00049796E+00          9.00049796E+00
        160.0000          1.00000000E+30          9.39434125E+00          9.39434125E+00
        170.0000          1.00000000E+30          9.79053041E+00          9.79053041E+00
        180.0000          1.00000000E+30          1.01885662E+01          1.01885662E+01
        190.0000          1.00000000E+30          1.05784087E+01          1.05784087E+01
        200.0000          1.00000000E+30          1.09701718E+01          1.09701718E+01
        210.0000          1.00000000E+30          1.13590480E+01          1.13590480E+01
        220.0000          1.00000000E+30          1.17452329E+01          1.17452329E+01
        230.0000          1.00000000E+30          1.21330886E+01          1.21330886E+01
        240.0000          1.00000000E+30          1.25183293E+01          1.25183293E+01
        250.0000          1.00000000E+30          1.29011061E+01          1.29011061E+01
        260.0000          1.00000000E+30          1.32815569E+01          1.32815569E+01
        270.0000          1.00000000E+30          1.36598081E+01          1.36598081E+01
        280.0000          1.00000000E+30          1.40359756E+01          1.40359756E+01
        287.9990          1.00000000E+30          1.43361668E+01          1.43361668E+01
        288.0010          6.86746929E+11          1.43362444E+01          1.43362444E+01
        290.0000          3.18506851E+07          1.44137856E+01          1.44137791E+01
        300.0000          2.13598070E+06          1.47859981E+01          1.47858957E+01
        310.0000          8.43043972E+05          1.51598889E+01          1.51596163E+01
        320.0000          4.72369933E+05          1.55319236E+01          1.55314129E+01
        330.0000          3.09868437E+05          1.59021814E+01          1.59013654E+01
        340.0000          2.22526691E+05          1.62707363E+01          1.62695467E+01
        350.0000          1.69539442E+05          1.66376574E+01          1.66360249E+01
        360.0000          1.34684030E+05          1.70030095E+01          1.70008633E+01
        370.0000          1.10383788E+05          1.73668532E+01          1.73641213E+01
        380.0000          9.26853689E+04          1.77323522E+01          1.77289604E+01
        390.0000          7.93440640E+04          1.80932894E+01          1.80891644E+01
        400.0000          6.90081604E+04          1.84528791E+01          1.84479461E+01
        410.0000          6.08167352E+04          1.88141401E+01          1.88083216E+01
        420.0000          5.42005004E+04          1.91711178E+01          1.91643393E+01
