#Energy      C-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.70786831E+02          1.70786831E+02
          0.2000          1.00000000E+30          1.11670996E+02          1.11670996E+02
          0.3000          1.00000000E+30          8.39470853E+01          8.39470853E+01
          0.4000          1.00000000E+30          6.84071011E+01          6.84071011E+01
          0.5000          1.00000000E+30          5.81911561E+01          5.81911561E+01
          0.6000          1.00000000E+30          5.09654777E+01          5.09654777E+01
          0.7000          1.00000000E+30          4.55767469E+01          4.55767469E+01
          0.8000          1.00000000E+30          4.13953320E+01          4.13953320E+01
          0.9000          1.00000000E+30          3.80523746E+01          3.80523746E+01
          1.0000          1.00000000E+30          3.53098818E+01          3.53098818E+01
          2.0000          1.00000000E+30          2.19070541E+01          2.19070541E+01
          3.0000          1.00000000E+30          1.67120892E+01          1.67120892E+01
          4.0000          1.00000000E+30          1.37759043E+01          1.37759043E+01
          5.0000          1.00000000E+30          1.18053575E+01          1.18053575E+01
          6.0000          1.00000000E+30          1.03497878E+01          1.03497878E+01
          7.0000          1.00000000E+30          9.21382285E+00          9.21382285E+00
          8.0000          1.00000000E+30          8.30287720E+00          8.30287720E+00
          9.0000          1.00000000E+30          7.56836717E+00          7.56836717E+00
         10.0000          1.00000000E+30          6.98286969E+00          6.98286969E+00
         11.0000          1.00000000E+30          6.52675975E+00          6.52675975E+00
         12.0000          1.00000000E+30          6.18163545E+00          6.18163545E+00
         13.0000          1.00000000E+30          5.92878093E+00          5.92878093E+00
         14.0000          1.00000000E+30          5.75025639E+00          5.75025639E+00
         15.0000          1.00000000E+30          5.63028580E+00          5.63028580E+00
         16.0000          1.00000000E+30          5.55590712E+00          5.55590712E+00
         17.0000          1.00000000E+30          5.51692049E+00          5.51692049E+00
         18.0000          1.00000000E+30          5.50548514E+00          5.50548514E+00
         19.0000          1.00000000E+30          5.51563192E+00          5.51563192E+00
         20.0000          1.00000000E+30          5.54282140E+00          5.54282140E+00
         21.0000          1.00000000E+30          5.58358737E+00          5.58358737E+00
         22.0000          1.00000000E+30          5.63526453E+00          5.63526453E+00
         23.0000          1.00000000E+30          5.69578588E+00          5.69578588E+00
         24.0000          1.00000000E+30          5.76353364E+00          5.76353364E+00
         25.0000          1.00000000E+30          5.83722979E+00          5.83722979E+00
         26.0000          1.00000000E+30          5.91585556E+00          5.91585556E+00
         27.0000          1.00000000E+30          5.99859160E+00          5.99859160E+00
         28.0000          1.00000000E+30          6.08477353E+00          6.08477353E+00
         29.0000          1.00000000E+30          6.17385833E+00          6.17385833E+00
         30.0000          1.00000000E+30          6.26539895E+00          6.26539895E+00
         31.0000          1.00000000E+30          6.35902480E+00          6.35902480E+00
         32.0000          1.00000000E+30          6.45442670E+00          6.45442670E+00
         33.0000          1.00000000E+30          6.55134518E+00          6.55134518E+00
         34.0000          1.00000000E+30          6.64956128E+00          6.64956128E+00
         35.0000          1.00000000E+30          6.74888927E+00          6.74888927E+00
         36.0000          1.00000000E+30          6.84917085E+00          6.84917085E+00
         37.0000          1.00000000E+30          6.95027051E+00          6.95027051E+00
         38.0000          1.00000000E+30          7.05207174E+00          7.05207174E+00
         39.0000          1.00000000E+30          7.15447404E+00          7.15447404E+00
         40.0000          1.00000000E+30          7.25739035E+00          7.25739035E+00
         41.0000          1.00000000E+30          7.36074504E+00          7.36074504E+00
         42.0000          1.00000000E+30          7.46447219E+00          7.46447219E+00
         43.0000          1.00000000E+30          7.56851420E+00          7.56851420E+00
         44.0000          1.00000000E+30          7.67282057E+00          7.67282057E+00
         45.0000          1.00000000E+30          7.77734698E+00          7.77734698E+00
         46.0000          1.00000000E+30          7.88205438E+00          7.88205438E+00
         47.0000          1.00000000E+30          7.98690833E+00          7.98690833E+00
         48.0000          1.00000000E+30          8.09187839E+00          8.09187839E+00
         49.0000          1.00000000E+30          8.19693763E+00          8.19693763E+00
         50.0000          1.00000000E+30          8.30206213E+00          8.30206213E+00
         51.0000          1.00000000E+30          8.40723070E+00          8.40723070E+00
         52.0000          1.00000000E+30          8.51242446E+00          8.51242446E+00
         53.0000          1.00000000E+30          8.61762663E+00          8.61762663E+00
         54.0000          1.00000000E+30          8.72105152E+00          8.72105152E+00
         55.0000          1.00000000E+30          8.82530510E+00          8.82530510E+00
         56.0000          1.00000000E+30          8.92936137E+00          8.92936137E+00
         57.0000          1.00000000E+30          9.03322504E+00          9.03322504E+00
         58.0000          1.00000000E+30          9.14261897E+00          9.14261897E+00
         59.0000          1.00000000E+30          9.24600626E+00          9.24600626E+00
         60.0000          1.00000000E+30          9.34921614E+00          9.34921614E+00
         61.0000          1.00000000E+30          9.45773998E+00          9.45773998E+00
         62.0000          1.00000000E+30          9.56050648E+00          9.56050648E+00
         63.0000          1.00000000E+30          9.66310927E+00          9.66310927E+00
         64.0000          1.00000000E+30          9.77081615E+00          9.77081615E+00
         65.0000          1.00000000E+30          9.87300562E+00          9.87300562E+00
         66.0000          1.00000000E+30          9.98018722E+00          9.98018722E+00
         67.0000          1.00000000E+30          1.00819826E+01          1.00819826E+01
         68.0000          1.00000000E+30          1.01886594E+01          1.01886594E+01
         69.0000          1.00000000E+30          1.02900786E+01          1.02900786E+01
         70.0000          1.00000000E+30          1.03962701E+01          1.03962701E+01
