#Energy      C   H   N   O  Total
          0.1000          8.39193634E+01          2.80876448E+00          2.68143667E+02          8.13666776E+02          2.68166269E+00
          0.2000          4.63593795E+01          2.58770877E+00          1.44668268E+02          4.31868502E+02          2.39669787E+00
          0.3000          3.32781188E+01          2.51680034E+00          1.02095645E+02          3.01158443E+02          2.27017377E+00
          0.4000          2.65236121E+01          2.49215134E+00          8.02683081E+01          2.34482512E+02          2.19449876E+00
          0.5000          2.23637558E+01          2.48867825E+00          6.68996020E+01          1.93810224E+02          2.14296863E+00
          0.6000          1.95284662E+01          2.49692255E+00          5.78286115E+01          1.66305984E+02          2.10523751E+00
          0.7000          1.74638984E+01          2.51243130E+00          5.12481858E+01          1.46410759E+02          2.07630503E+00
          0.8000          1.58888891E+01          2.53280103E+00          4.62441046E+01          1.31319170E+02          2.05340379E+00
          0.9000          1.46450880E+01          2.55660723E+00          4.23030735E+01          1.19459562E+02          2.03485445E+00
          1.0000          1.36362914E+01          2.58294587E+00          3.91141190E+01          1.09881661E+02          2.01956768E+00
          2.0000          8.89031616E+00          2.90881102E+00          2.42027515E+01          6.53529434E+01          1.94975801E+00
          3.0000          7.20870918E+00          3.27446686E+00          1.89315483E+01          4.97033248E+01          1.93402807E+00
          4.0000          6.35461321E+00          3.65225274E+00          1.62255023E+01          4.16521665E+01          1.93494957E+00
          5.0000          5.84986519E+00          4.03546875E+00          1.45920277E+01          3.67542772E+01          1.94369094E+00
          6.0000          5.52734922E+00          4.42160655E+00          1.35140786E+01          3.34802798E+01          1.95715428E+00
          7.0000          5.31267329E+00          4.80949889E+00          1.27630503E+01          3.11575750E+01          1.97395515E+00
          8.0000          5.16743133E+00          5.19852469E+00          1.22215703E+01          2.94423422E+01          1.99334522E+00
          9.0000          5.06968552E+00          5.58832174E+00          1.18229033E+01          2.81398183E+01          2.01485383E+00
         10.0000          5.00594585E+00          5.97866421E+00          1.15261734E+01          2.71310936E+01          2.03814996E+00
         11.0000          4.96743676E+00          6.36940389E+00          1.13048810E+01          2.63392959E+01          2.06298250E+00
         12.0000          4.94819028E+00          6.76043953E+00          1.11410579E+01          2.57124332E+01          2.08915146E+00
         13.0000          4.94399911E+00          7.15169970E+00          1.10220705E+01          2.52140301E+01          2.11649250E+00
         14.0000          4.95180764E+00          7.54313261E+00          1.09387650E+01          2.48177110E+01          2.14486792E+00
         15.0000          4.96934046E+00          7.93469987E+00          1.08843388E+01          2.45039116E+01          2.17416073E+00
         16.0000          4.99486668E+00          8.32637248E+00          1.08536273E+01          2.42578012E+01          2.20427058E+00
         17.0000          5.02704513E+00          8.71812819E+00          1.08426351E+01          2.40679252E+01          2.23511080E+00
         18.0000          5.06481984E+00          9.10994963E+00          1.08482214E+01          2.39252902E+01          2.26660607E+00
         19.0000          5.10734757E+00          9.50182316E+00          1.08678813E+01          2.38227333E+01          2.29869060E+00
         20.0000          5.15394649E+00          9.89373787E+00          1.08995921E+01          2.37544765E+01          2.33130671E+00
         21.0000          5.20405910E+00          1.02856850E+01          1.09417015E+01          2.37158053E+01          2.36440364E+00
         22.0000          5.25722497E+00          1.06776575E+01          1.09928465E+01          2.37028335E+01          2.39793651E+00
         23.0000          5.31306039E+00          1.10696495E+01          1.10518920E+01          2.37123282E+01          2.43186558E+00
         24.0000          5.37124296E+00          1.14616562E+01          1.11178851E+01          2.37415773E+01          2.46615549E+00
         25.0000          5.43149975E+00          1.18536738E+01          1.11900196E+01          2.37882880E+01          2.50077471E+00
         26.0000          5.49359813E+00          1.22456989E+01          1.12676089E+01          2.38505087E+01          2.53569506E+00
         27.0000          5.55733857E+00          1.26377288E+01          1.13500644E+01          2.39265673E+01          2.57089128E+00
         28.0000          5.62254895E+00          1.30297612E+01          1.14368784E+01          2.40150227E+01          2.60634064E+00
         29.0000          5.68907996E+00          1.34217942E+01          1.15276110E+01          2.41146262E+01          2.64202269E+00
         30.0000          5.75680150E+00          1.38138262E+01          1.16218786E+01          2.42242903E+01          2.67791894E+00
         31.0000          5.82559962E+00          1.42058558E+01          1.17193457E+01          2.43430633E+01          2.71401268E+00
         32.0000          5.89537412E+00          1.45978818E+01          1.18197171E+01          2.44701088E+01          2.75028874E+00
         33.0000          5.96603653E+00          1.49899033E+01          1.19227324E+01          2.46046885E+01          2.78673333E+00
         34.0000          6.03750844E+00          1.53819194E+01          1.20281607E+01          2.47461486E+01          2.82333392E+00
         35.0000          6.10972012E+00          1.57739295E+01          1.21357967E+01          2.48939075E+01          2.86007904E+00
         36.0000          6.18260935E+00          1.61659329E+01          1.22454571E+01          2.50474466E+01          2.89695824E+00
         37.0000          6.25612041E+00          1.65579291E+01          1.23569782E+01          2.52063015E+01          2.93396194E+00
         38.0000          6.33020332E+00          1.69499177E+01          1.24702125E+01          2.53700555E+01          2.97108138E+00
         39.0000          6.40481305E+00          1.73418984E+01          1.25850275E+01          2.55383333E+01          3.00830847E+00
         40.0000          6.47990897E+00          1.77338708E+01          1.27013037E+01          2.57107964E+01          3.04563582E+00
         41.0000          6.55545432E+00          1.81258347E+01          1.28189328E+01          2.58871381E+01          3.08305658E+00
         42.0000          6.63141576E+00          1.85177900E+01          1.29378164E+01          2.60670804E+01          3.12056447E+00
         43.0000          6.70776298E+00          1.89097363E+01          1.30578653E+01          2.62503705E+01          3.15815366E+00
         44.0000          6.78446836E+00          1.93016736E+01          1.31789981E+01          2.64367780E+01          3.19581877E+00
         45.0000          6.86150669E+00          1.96936019E+01          1.33011405E+01          2.66260925E+01          3.23355483E+00
         46.0000          6.93885494E+00          2.00855209E+01          1.34242244E+01          2.68181215E+01          3.27135721E+00
         47.0000          7.01649199E+00          2.04774306E+01          1.35481877E+01          2.70126884E+01          3.30922163E+00
         48.0000          7.09439844E+00          2.08693310E+01          1.36729730E+01          2.72096313E+01          3.34714411E+00
         49.0000          7.17255647E+00          2.12612221E+01          1.37985277E+01          2.74088011E+01          3.38512095E+00
         50.0000          7.25094968E+00          2.16531039E+01          1.39248034E+01          2.76100602E+01          3.42314869E+00
         51.0000          7.32956293E+00          2.20449762E+01          1.40517552E+01          2.78132819E+01          3.46122413E+00
         52.0000          7.40838223E+00          2.24368393E+01          1.41793419E+01          2.80183490E+01          3.49934426E+00
         53.0000          7.48739467E+00          2.28286929E+01          1.43075251E+01          2.82251529E+01          3.53750629E+00
         54.0000          7.56658825E+00          2.32205373E+01          1.44362695E+01          2.84335931E+01          3.57570760E+00
         55.0000          7.64595187E+00          2.36123724E+01          1.45655420E+01          2.86435761E+01          3.61394574E+00
         56.0000          7.72547522E+00          2.40041982E+01          1.46953121E+01          2.88550151E+01          3.65221842E+00
         57.0000          7.80514870E+00          2.43960149E+01          1.48255514E+01          2.90678293E+01          3.69052349E+00
         58.0000          7.88496340E+00          2.47878224E+01          1.49562333E+01          2.92819435E+01          3.72885895E+00
         59.0000          7.96491099E+00          2.51796207E+01          1.50873331E+01          2.94972873E+01          3.76722289E+00
         60.0000          8.04498372E+00          2.55714101E+01          1.52188278E+01          2.97137953E+01          3.80561356E+00
         61.0000          8.12517434E+00          2.59631904E+01          1.53506958E+01          2.99314061E+01          3.84402928E+00
         62.0000          8.20547609E+00          2.63549618E+01          1.54829170E+01          3.01500622E+01          3.88246848E+00
         63.0000          8.28588262E+00          2.67467243E+01          1.56154723E+01          3.03697100E+01          3.92092969E+00
         64.0000          8.36638800E+00          2.71384780E+01          1.57483443E+01          3.05902991E+01          3.95941152E+00
         65.0000          8.44698668E+00          2.75302229E+01          1.58815161E+01          3.08117820E+01          3.99791267E+00
         66.0000          8.52767343E+00          2.79219591E+01          1.60149724E+01          3.10341143E+01          4.03643190E+00
         67.0000          8.60844337E+00          2.83136867E+01          1.61486983E+01          3.12572542E+01          4.07496804E+00
         68.0000          8.68929188E+00          2.87054058E+01          1.62826801E+01          3.14811624E+01          4.11352000E+00
         69.0000          8.77021464E+00          2.90971163E+01          1.64169049E+01          3.17058018E+01          4.15208674E+00
         70.0000          8.85120757E+00          2.94888184E+01          1.65513603E+01          3.19311374E+01          4.19066729E+00
         71.0000          8.93226684E+00          2.98805122E+01          1.66860350E+01          3.21571363E+01          4.22926072E+00
         72.0000          9.01338884E+00          3.02721977E+01          1.68209179E+01          3.23837674E+01          4.26786614E+00
         73.0000          9.09457015E+00          3.06638749E+01          1.69559989E+01          3.26110012E+01          4.30648274E+00
         74.0000          9.17580756E+00          3.10555439E+01          1.70912683E+01          3.28388100E+01          4.34510973E+00
