#Energy      Cu  Total
          0.1000          5.16167855E+03          5.16167855E+03
          0.2000          2.59353396E+03          2.59353396E+03
          0.3000          1.73555194E+03          1.73555194E+03
          0.4000          1.30581282E+03          1.30581282E+03
          0.5000          1.04758822E+03          1.04758822E+03
          0.6000          8.75213658E+02          8.75213658E+02
          0.7000          7.51943464E+02          7.51943464E+02
          0.8000          6.59390373E+02          6.59390373E+02
          0.9000          5.87331927E+02          5.87331927E+02
          1.0000          5.29630581E+02          5.29630581E+02
          2.0000          2.69066870E+02          2.69066870E+02
          3.0000          1.81636713E+02          1.81636713E+02
          4.0000          1.37707221E+02          1.37707221E+02
          5.0000          1.11244510E+02          1.11244510E+02
          6.0000          9.35432850E+01          9.35432850E+01
          7.0000          8.08627625E+01          8.08627625E+01
          8.0000          7.13281458E+01          7.13281458E+01
          9.0000          6.38956608E+01          6.38956608E+01
         10.0000          5.79378156E+01          5.79378156E+01
         11.0000          5.30545702E+01          5.30545702E+01
         12.0000          4.89787762E+01          4.89787762E+01
         13.0000          4.55251874E+01          4.55251874E+01
         14.0000          4.25612839E+01          4.25612839E+01
         15.0000          3.99897435E+01          3.99897435E+01
         16.0000          3.77374739E+01          3.77374739E+01
         17.0000          3.57485070E+01          3.57485070E+01
         18.0000          3.39792570E+01          3.39792570E+01
         19.0000          3.23952721E+01          3.23952721E+01
         20.0000          3.09689584E+01          3.09689584E+01
         21.0000          2.96779529E+01          2.96779529E+01
         22.0000          2.85039385E+01          2.85039385E+01
         23.0000          2.74317677E+01          2.74317677E+01
         24.0000          2.64488046E+01          2.64488046E+01
         25.0000          2.55444246E+01          2.55444246E+01
         26.0000          2.47096290E+01          2.47096290E+01
         27.0000          2.39367450E+01          2.39367450E+01
         28.0000          2.32191900E+01          2.32191900E+01
         29.0000          2.25512843E+01          2.25512843E+01
         30.0000          2.19281012E+01          2.19281012E+01
         31.0000          2.13453463E+01          2.13453463E+01
         32.0000          2.07992587E+01          2.07992587E+01
         33.0000          2.02865308E+01          2.02865308E+01
         34.0000          1.98042421E+01          1.98042421E+01
         35.0000          1.93498035E+01          1.93498035E+01
         36.0000          1.89209123E+01          1.89209123E+01
         37.0000          1.85155129E+01          1.85155129E+01
         38.0000          1.81317649E+01          1.81317649E+01
         39.0000          1.77680157E+01          1.77680157E+01
         40.0000          1.74227768E+01          1.74227768E+01
         41.0000          1.70947039E+01          1.70947039E+01
         42.0000          1.67825802E+01          1.67825802E+01
         43.0000          1.64853013E+01          1.64853013E+01
         44.0000          1.62018624E+01          1.62018624E+01
         45.0000          1.59313478E+01          1.59313478E+01
         46.0000          1.56729208E+01          1.56729208E+01
         47.0000          1.54258152E+01          1.54258152E+01
         48.0000          1.51893287E+01          1.51893287E+01
         49.0000          1.49628155E+01          1.49628155E+01
         50.0000          1.47456816E+01          1.47456816E+01
         51.0000          1.45373791E+01          1.45373791E+01
         52.0000          1.43374018E+01          1.43374018E+01
         53.0000          1.41452816E+01          1.41452816E+01
         54.0000          1.39605851E+01          1.39605851E+01
         55.0000          1.37829099E+01          1.37829099E+01
         56.0000          1.36118822E+01          1.36118822E+01
         57.0000          1.34471544E+01          1.34471544E+01
         58.0000          1.32884026E+01          1.32884026E+01
         59.0000          1.31353249E+01          1.31353249E+01
         60.0000          1.29876392E+01          1.29876392E+01
         61.0000          1.28450818E+01          1.28450818E+01
         62.0000          1.27074061E+01          1.27074061E+01
         63.0000          1.25743808E+01          1.25743808E+01
         64.0000          1.24457892E+01          1.24457892E+01
         65.0000          1.23214277E+01          1.23214277E+01
         66.0000          1.22011051E+01          1.22011051E+01
         67.0000          1.20846413E+01          1.20846413E+01
         68.0000          1.19718670E+01          1.19718670E+01
         69.0000          1.18626224E+01          1.18626224E+01
         70.0000          1.17567571E+01          1.17567571E+01
         71.0000          1.16541289E+01          1.16541289E+01
         72.0000          1.15546034E+01          1.15546034E+01
         73.0000          1.14580537E+01          1.14580537E+01
         74.0000          1.13643595E+01          1.13643595E+01
         75.0000          1.12734072E+01          1.12734072E+01
         76.0000          1.11850888E+01          1.11850888E+01
         77.0000          1.10993021E+01          1.10993021E+01
         78.0000          1.10159500E+01          1.10159500E+01
         79.0000          1.09349403E+01          1.09349403E+01
         79.9990          1.08562632E+01          1.08562632E+01
         80.0000          1.08561855E+01          1.08561855E+01
         80.0010          1.08561079E+01          1.08561079E+01
         81.0000          1.07796023E+01          1.07796023E+01
         81.9990          1.07051849E+01          1.07051849E+01
         82.0000          1.07051114E+01          1.07051114E+01
         82.0010          1.07050379E+01          1.07050379E+01
         83.0000          1.06326373E+01          1.06326373E+01
         84.0000          1.05621083E+01          1.05621083E+01
         85.0000          1.04934557E+01          1.04934557E+01
         86.0000          1.04266142E+01          1.04266142E+01
         87.0000          1.03615214E+01          1.03615214E+01
         88.0000          1.02981179E+01          1.02981179E+01
         89.0000          1.02363467E+01          1.02363467E+01
         90.0000          1.01761535E+01          1.01761535E+01
         91.0000          1.01174863E+01          1.01174863E+01
         92.0000          1.00602954E+01          1.00602954E+01
         93.0000          1.00045331E+01          1.00045331E+01
         94.0000          9.95015380E+00          9.95015380E+00
         95.0000          9.89711389E+00          9.89711389E+00
         96.0000          9.84537148E+00          9.84537148E+00
         97.0000          9.79488640E+00          9.79488640E+00
         98.0000          9.74562013E+00          9.74562013E+00
         99.0000          9.69753570E+00          9.69753570E+00
        100.0000          9.65059760E+00          9.65059760E+00
        110.0000          9.23737341E+00          9.23737341E+00
        120.0000          8.90832943E+00          8.90832943E+00
        126.9990          8.71741244E+00          8.71741244E+00
        127.0010          8.71736190E+00          8.71736190E+00
        130.0000          8.64394635E+00          8.64394635E+00
        140.0000          8.43026597E+00          8.43026597E+00
        150.0000          8.25704430E+00          8.25704430E+00
        160.0000          8.11659491E+00          8.11659491E+00
        170.0000          8.00303906E+00          8.00303906E+00
        180.0000          7.91180501E+00          7.91180501E+00
        190.0000          7.83928492E+00          7.83928492E+00
        200.0000          7.78259440E+00          7.78259440E+00
        210.0000          7.73940052E+00          7.73940052E+00
        220.0000          7.70779664E+00          7.70779664E+00
        230.0000          7.68620980E+00          7.68620980E+00
        240.0000          7.67333120E+00          7.67333120E+00
        250.0000          7.66806335E+00          7.66806335E+00
        260.0000          7.66947940E+00          7.66947940E+00
        270.0000          7.67679148E+00          7.67679148E+00
        280.0000          7.68932579E+00          7.68932579E+00
        290.0000          7.70650294E+00          7.70650294E+00
        300.0000          7.72782210E+00          7.72782210E+00
        310.0000          7.75284828E+00          7.75284828E+00
        320.0000          7.78120202E+00          7.78120202E+00
        330.0000          7.81255087E+00          7.81255087E+00
        340.0000          7.84660249E+00          7.84660249E+00
        350.0000          7.88309882E+00          7.88309882E+00
        360.0000          7.92181132E+00          7.92181132E+00
        370.0000          7.96253690E+00          7.96253690E+00
        380.0000          8.00509460E+00          8.00509460E+00
        390.0000          8.04932263E+00          8.04932263E+00
        400.0000          8.09507604E+00          8.09507604E+00
        410.0000          8.14222456E+00          8.14222456E+00
        420.0000          8.19065086E+00          8.19065086E+00
        430.0000          8.24024905E+00          8.24024905E+00
        440.0000          8.29092329E+00          8.29092329E+00
        450.0000          8.34258673E+00          8.34258673E+00
        460.0000          8.39516044E+00          8.39516044E+00
        470.0000          8.44857261E+00          8.44857261E+00
        480.0000          8.50275776E+00          8.50275776E+00
        490.0000          8.55765609E+00          8.55765609E+00
        500.0000          8.61321290E+00          8.61321290E+00
        510.0000          8.66937807E+00          8.66937807E+00
        520.0000          8.72610562E+00          8.72610562E+00
        530.0000          8.78335330E+00          8.78335330E+00
        540.0000          8.84108221E+00          8.84108221E+00
        550.0000          8.89925655E+00          8.89925655E+00
        560.0000          8.95784327E+00          8.95784327E+00
        570.0000          9.01681186E+00          9.01681186E+00
        580.0000          9.07613410E+00          9.07613410E+00
        590.0000          9.13578388E+00          9.13578388E+00
        600.0000          9.19573699E+00          9.19573699E+00
        610.0000          9.25597099E+00          9.25597099E+00
        620.0000          9.31646504E+00          9.31646504E+00
        630.0000          9.37719977E+00          9.37719977E+00
        640.0000          9.43815717E+00          9.43815717E+00
        650.0000          9.49932046E+00          9.49932046E+00
        660.0000          9.56067404E+00          9.56067404E+00
        670.0000          9.62220332E+00          9.62220332E+00
        680.0000          9.68389471E+00          9.68389471E+00
        690.0000          9.74573553E+00          9.74573553E+00
        700.0000          9.80771390E+00          9.80771390E+00
        710.0000          9.86981874E+00          9.86981874E+00
        720.0000          9.93203966E+00          9.93203966E+00
        730.0000          9.99436696E+00          9.99436696E+00
        740.0000          1.00567915E+01          1.00567915E+01
        750.0000          1.01193048E+01          1.01193048E+01
        760.0000          1.01818989E+01          1.01818989E+01
        770.0000          1.02445661E+01          1.02445661E+01
        780.0000          1.03072996E+01          1.03072996E+01
        790.0000          1.03700926E+01          1.03700926E+01
        800.0000          1.04329389E+01          1.04329389E+01
        810.0000          1.04958327E+01          1.04958327E+01
        820.0000          1.05587685E+01          1.05587685E+01
        830.0000          1.06217412E+01          1.06217412E+01
        840.0000          1.06847458E+01          1.06847458E+01
        850.0000          1.07477777E+01          1.07477777E+01
        860.0000          1.08108328E+01          1.08108328E+01
        870.0000          1.08739068E+01          1.08739068E+01
        880.0000          1.09369959E+01          1.09369959E+01
        890.0000          1.10000967E+01          1.10000967E+01
        900.0000          1.10632055E+01          1.10632055E+01
        910.0000          1.11263193E+01          1.11263193E+01
        920.0000          1.11894350E+01          1.11894350E+01
        930.0000          1.12525498E+01          1.12525498E+01
        937.9990          1.13030328E+01          1.13030328E+01
        938.0010          1.13030454E+01          1.13030454E+01
        940.0000          1.13156609E+01          1.13156609E+01
        950.0000          1.13787659E+01          1.13787659E+01
        957.9990          1.14292375E+01          1.14292375E+01
        958.0010          1.14292501E+01          1.14292501E+01
        960.0000          1.14418623E+01          1.14418623E+01
        970.0000          1.15049479E+01          1.15049479E+01
        980.0000          1.15680205E+01          1.15680205E+01
        990.0000          1.16310781E+01          1.16310781E+01
       1000.0000          1.16941188E+01          1.16941188E+01
       1100.0000          1.23232485E+01          1.23232485E+01
       1102.9990          1.23420725E+01          1.23420725E+01
       1103.0010          1.23420850E+01          1.23420850E+01
       1200.0000          1.29492372E+01          1.29492372E+01
       1300.0000          1.35713395E+01          1.35713395E+01
       1400.0000          1.41891693E+01          1.41891693E+01
       1500.0000          1.48025571E+01          1.48025571E+01
       1600.0000          1.54114647E+01          1.54114647E+01
       1700.0000          1.60159337E+01          1.60159337E+01
       1800.0000          1.66160542E+01          1.66160542E+01
       1900.0000          1.72119444E+01          1.72119444E+01
       2000.0000          1.78037378E+01          1.78037378E+01
       2100.0000          1.83915750E+01          1.83915750E+01
       2200.0000          1.89755985E+01          1.89755985E+01
       2300.0000          1.95559496E+01          1.95559496E+01
       2400.0000          2.01327657E+01          2.01327657E+01
       2500.0000          2.07061799E+01          2.07061799E+01
       2600.0000          2.12763193E+01          2.12763193E+01
