#Energy      Ga   As  Total
          0.1000          2.46112429E+04          3.03344240E+04          1.35873840E+04
          0.2000          1.23586124E+04          1.52248659E+04          6.82141008E+03
          0.3000          8.26631881E+03          1.01795415E+04          4.56185474E+03
          0.4000          6.21704433E+03          7.65347184E+03          3.43044002E+03
          0.5000          4.98588595E+03          6.13609357E+03          2.75075697E+03
          0.6000          4.16417345E+03          5.12348341E+03          2.29714275E+03
          0.7000          3.57662729E+03          4.39952703E+03          1.97281394E+03
          0.8000          3.13554744E+03          3.85610165E+03          1.72934732E+03
          0.9000          2.79218108E+03          3.43310574E+03          1.53982510E+03
          1.0000          2.51725953E+03          3.09445988E+03          1.38808769E+03
          2.0000          1.27631125E+03          1.56640593E+03          7.03278371E+02
          3.0000          8.60248013E+02          1.05441788E+03          4.73743690E+02
          4.0000          6.51314979E+02          7.97437067E+02          3.58503519E+02
          5.0000          5.25512430E+02          6.42762778E+02          2.89126934E+02
          6.0000          4.41392780E+02          5.39370123E+02          2.42743763E+02
          7.0000          3.81151174E+02          4.65345930E+02          2.09530720E+02
          8.0000          3.35866744E+02          4.09713503E+02          1.84566505E+02
          9.0000          3.00574156E+02          3.66364534E+02          1.65112194E+02
         10.0000          2.72289068E+02          3.31628428E+02          1.49521741E+02
         11.0000          2.49109307E+02          3.03166026E+02          1.36746065E+02
         12.0000          2.29764851E+02          2.79415807E+02          1.26084780E+02
         13.0000          2.13375207E+02          2.59295358E+02          1.17052351E+02
         14.0000          1.99310608E+02          2.42030601E+02          1.09301523E+02
         15.0000          1.87108634E+02          2.27053237E+02          1.02577335E+02
         16.0000          1.76422045E+02          2.13936577E+02          9.66883433E+01
         17.0000          1.66984998E+02          2.02353991E+02          9.14879874E+01
         18.0000          1.58590492E+02          1.92051180E+02          8.68621546E+01
         19.0000          1.51074930E+02          1.82827188E+02          8.27206631E+01
         19.9990          1.44313728E+02          1.74528997E+02          7.89948407E+01
         20.0000          1.44307297E+02          1.74521104E+02          7.89912967E+01
         20.0010          1.44300867E+02          1.74513212E+02          7.89877531E+01
         20.9990          1.38187265E+02          1.67009710E+02          7.56187544E+01
         21.0000          1.38181430E+02          1.67002548E+02          7.56155386E+01
         21.0010          1.38175595E+02          1.66995386E+02          7.56123230E+01
         22.0000          1.32610381E+02          1.60164754E+02          7.25454673E+01
         23.0000          1.27522257E+02          1.53919450E+02          6.97414605E+01
         24.0000          1.22857095E+02          1.48193017E+02          6.71704706E+01
         25.0000          1.18564479E+02          1.42923566E+02          6.48047147E+01
         26.0000          1.14601714E+02          1.38058689E+02          6.26206649E+01
         27.0000          1.10932400E+02          1.33553711E+02          6.05982631E+01
         28.0000          1.07525312E+02          1.29370308E+02          5.87203035E+01
         29.0000          1.04353509E+02          1.25475422E+02          5.69719422E+01
         30.0000          1.01393627E+02          1.21840382E+02          5.53403054E+01
         31.0000          9.86252991E+01          1.18440199E+02          5.38141721E+01
         32.0000          9.60306933E+01          1.15252996E+02          5.23837175E+01
         33.0000          9.35941267E+01          1.12259531E+02          5.10403016E+01
         34.0000          9.13017522E+01          1.09442820E+02          4.97762959E+01
         35.0000          8.91412970E+01          1.06787808E+02          4.85849395E+01
         36.0000          8.71018447E+01          1.04281106E+02          4.74602186E+01
         37.0000          8.51736527E+01          1.01910764E+02          4.63967667E+01
         38.0000          8.33479985E+01          9.96660874E+01          4.53897790E+01
         39.0000          8.16170495E+01          9.75374692E+01          4.44349409E+01
         40.0000          7.99737520E+01          9.55162604E+01          4.35283673E+01
         41.0000          7.84117367E+01          9.35946513E+01          4.26665500E+01
         42.0000          7.69252376E+01          9.17655725E+01          4.18463132E+01
         43.0000          7.55090221E+01          9.00226087E+01          4.10647748E+01
         44.0000          7.41583307E+01          8.83599249E+01          4.03193137E+01
         44.9990          7.28700848E+01          8.67737543E+01          3.96082359E+01
         45.0000          7.28688245E+01          8.67722024E+01          3.96075402E+01
         45.0010          7.28675643E+01          8.67706505E+01          3.96068445E+01
         45.9990          7.16377450E+01          8.52560665E+01          3.89279366E+01
         46.0000          7.16365400E+01          8.52545824E+01          3.89272714E+01
         46.0010          7.16353352E+01          8.52530983E+01          3.89266062E+01
         47.0000          7.04578491E+01          8.38026177E+01          3.82765093E+01
         48.0000          6.93294240E+01          8.24122299E+01          3.76534213E+01
         49.0000          6.82482075E+01          8.10796715E+01          3.70563238E+01
         50.0000          6.72113853E+01          7.98014936E+01          3.64836671E+01
         51.0000          6.62163627E+01          7.85745164E+01          3.59340223E+01
         52.0000          6.52607434E+01          7.73958032E+01          3.54060698E+01
         53.0000          6.43423110E+01          7.62626380E+01          3.48985893E+01
         54.0000          6.34590123E+01          7.51725050E+01          3.44104502E+01
         55.0000          6.26089426E+01          7.41230702E+01          3.39406036E+01
         56.0000          6.17903325E+01          7.31121657E+01          3.34880754E+01
         57.0000          6.10015359E+01          7.21377749E+01          3.30519592E+01
         58.0000          6.02410199E+01          7.11980194E+01          3.26314109E+01
         59.0000          5.95073546E+01          7.02911476E+01          3.22256434E+01
         60.0000          5.87992051E+01          6.94155242E+01          3.18339216E+01
         61.0000          5.81153235E+01          6.85696203E+01          3.14555585E+01
         62.0000          5.74545419E+01          6.77520053E+01          3.10899111E+01
         63.0000          5.68157661E+01          6.69613391E+01          3.07363771E+01
         64.0000          5.61979700E+01          6.61963646E+01          3.03943914E+01
         65.0000          5.56001904E+01          6.54559019E+01          3.00634238E+01
         66.0000          5.50215218E+01          6.47388423E+01          2.97429759E+01
         67.0000          5.44611127E+01          6.40441426E+01          2.94325788E+01
         68.0000          5.39181615E+01          6.33708211E+01          2.91317913E+01
         69.0000          5.33919125E+01          6.27179524E+01          2.88401974E+01
         70.0000          5.28816533E+01          6.20846638E+01          2.85574049E+01
         71.0000          5.23867111E+01          6.14701316E+01          2.82830434E+01
         72.0000          5.19064505E+01          6.08735776E+01          2.80167632E+01
         73.0000          5.14402706E+01          6.02942659E+01          2.77582335E+01
         74.0000          5.09876028E+01          5.97315002E+01          2.75071413E+01
         75.0000          5.05479087E+01          5.91846214E+01          2.72631902E+01
         76.0000          5.01206782E+01          5.86530047E+01          2.70260995E+01
         77.0000          4.97054272E+01          5.81360575E+01          2.67956027E+01
         78.0000          4.93016968E+01          5.76332177E+01          2.65714471E+01
         79.0000          4.89090508E+01          5.71439514E+01          2.63533928E+01
         80.0000          4.85270749E+01          5.66677512E+01          2.61412116E+01
         81.0000          4.81553749E+01          5.62041347E+01          2.59346866E+01
         82.0000          4.77935762E+01          5.57526429E+01          2.57336116E+01
         83.0000          4.74413217E+01          5.53128388E+01          2.55377901E+01
         84.0000          4.70982713E+01          5.48843062E+01          2.53470348E+01
