#Energy      Ga   P  Total
          0.1000          2.20076293E+04          1.95894364E+03          1.79882645E+03
          0.2000          1.10511998E+04          9.97297921E+02          9.14747949E+02
          0.3000          7.39182826E+03          6.74103445E+02          6.17765818E+02
          0.4000          5.55934570E+03          5.11485204E+02          4.68391084E+02
          0.5000          4.45843107E+03          4.13395449E+02          3.78317066E+02
          0.6000          3.72364721E+03          3.47697071E+02          3.18003377E+02
          0.7000          3.19825732E+03          3.00572672E+02          2.74751489E+02
          0.8000          2.80383913E+03          2.65093789E+02          2.42195043E+02
          0.9000          2.49679736E+03          2.37401251E+02          2.16788501E+02
          1.0000          2.25095965E+03          2.15173984E+02          1.96399720E+02
          2.0000          1.14129079E+03          1.13947229E+02          1.03603397E+02
          3.0000          7.69242720E+02          7.94595233E+01          7.20201464E+01
          4.0000          5.82412628E+02          6.19510129E+01          5.59948606E+01
          5.0000          4.69918680E+02          5.13236841E+01          4.62701414E+01
          6.0000          3.94698014E+02          4.41744895E+01          3.97281287E+01
          7.0000          3.40829343E+02          3.90315619E+01          3.50209812E+01
          8.0000          3.00335535E+02          3.51530467E+01          3.14696526E+01
          9.0000          2.68776536E+02          3.21238303E+01          2.86943215E+01
         10.0000          2.43483716E+02          2.96932083E+01          2.64656786E+01
         11.0000          2.22756133E+02          2.77006760E+01          2.46369643E+01
         12.0000          2.05458119E+02          2.60386293E+01          2.31098184E+01
         13.0000          1.90802330E+02          2.46321817E+01          2.18158067E+01
         14.0000          1.78225619E+02          2.34275787E+01          2.07058195E+01
         15.0000          1.67314486E+02          2.23852170E+01          1.97436845E+01
         16.0000          1.57758428E+02          2.14752631E+01          1.89021591E+01
         17.0000          1.49319722E+02          2.06748078E+01          1.81603288E+01
         18.0000          1.41813267E+02          1.99659617E+01          1.75018653E+01
         19.0000          1.35092773E+02          1.93345480E+01          1.69138316E+01
         19.9990          1.29046837E+02          1.87697197E+01          1.63863441E+01
         20.0000          1.29041086E+02          1.87691841E+01          1.63858431E+01
         20.0010          1.29035336E+02          1.87686485E+01          1.63853422E+01
         20.9990          1.23568490E+02          1.82611061E+01          1.59099184E+01
         21.0000          1.23563271E+02          1.82606233E+01          1.59094654E+01
         21.0010          1.23558054E+02          1.82601405E+01          1.59090125E+01
         22.0000          1.18581581E+02          1.78012750E+01          1.54777763E+01
         23.0000          1.14031729E+02          1.73848488E+01          1.50850402E+01
         24.0000          1.09860092E+02          1.70060862E+01          1.47264639E+01
         25.0000          1.06021590E+02          1.66605573E+01          1.43980099E+01
         26.0000          1.02478045E+02          1.63445029E+01          1.40962531E+01
         27.0000          9.91969060E+01          1.60547120E+01          1.38182681E+01
         28.0000          9.61502519E+01          1.57884250E+01          1.35615417E+01
         29.0000          9.33139930E+01          1.55432566E+01          1.33239021E+01
         30.0000          9.06672355E+01          1.53171349E+01          1.31034630E+01
         31.0000          8.81917682E+01          1.51082507E+01          1.28985779E+01
         32.0000          8.58716447E+01          1.49150173E+01          1.27078032E+01
         33.0000          8.36928415E+01          1.47360374E+01          1.25298678E+01
         34.0000          8.16429764E+01          1.45700752E+01          1.23636480E+01
         35.0000          7.97110749E+01          1.44160341E+01          1.22081469E+01
         36.0000          7.78873754E+01          1.42729372E+01          1.20624766E+01
         37.0000          7.61631661E+01          1.41399114E+01          1.19258441E+01
         38.0000          7.45306471E+01          1.40161744E+01          1.17975386E+01
         39.0000          7.29828145E+01          1.39010224E+01          1.16769214E+01
         40.0000          7.15133608E+01          1.37938211E+01          1.15634168E+01
         41.0000          7.01165905E+01          1.36939971E+01          1.14565046E+01
         42.0000          6.87873475E+01          1.36010306E+01          1.13557135E+01
         43.0000          6.75209529E+01          1.35144496E+01          1.12606155E+01
         44.0000          6.63131505E+01          1.34338240E+01          1.11708212E+01
         45.0000          6.51600607E+01          1.33587618E+01          1.10859753E+01
         46.0000          6.40581392E+01          1.32889041E+01          1.10057532E+01
         47.0000          6.30041414E+01          1.32239223E+01          1.09298575E+01
         48.0000          6.19950920E+01          1.31635148E+01          1.08580154E+01
         49.0000          6.10282569E+01          1.31074042E+01          1.07899763E+01
         50.0000          6.01011197E+01          1.30553348E+01          1.07255094E+01
         51.0000          5.92113602E+01          1.30070709E+01          1.06644017E+01
         52.0000          5.83568355E+01          1.29623945E+01          1.06064567E+01
         53.0000          5.75355637E+01          1.29211039E+01          1.05514925E+01
         54.0000          5.67457088E+01          1.28830121E+01          1.04993406E+01
         55.0000          5.59855676E+01          1.28479455E+01          1.04498447E+01
         56.0000          5.52535579E+01          1.28157427E+01          1.04028597E+01
         57.0000          5.45482079E+01          1.27862536E+01          1.03582505E+01
         58.0000          5.38681465E+01          1.27593380E+01          1.03158913E+01
         59.0000          5.32120954E+01          1.27348655E+01          1.02756650E+01
         60.0000          5.25788608E+01          1.27127139E+01          1.02374620E+01
         61.0000          5.19673267E+01          1.26927692E+01          1.02011801E+01
         62.0000          5.13764489E+01          1.26749244E+01          1.01667236E+01
         63.0000          5.08052489E+01          1.26590795E+01          1.01340028E+01
         64.0000          5.02528093E+01          1.26451404E+01          1.01029339E+01
         65.0000          4.97182685E+01          1.26330188E+01          1.00734379E+01
         66.0000          4.92008170E+01          1.26226318E+01          1.00454408E+01
         67.0000          4.86996934E+01          1.26139012E+01          1.00188731E+01
         68.0000          4.82141808E+01          1.26067536E+01          9.99366919E+00
         69.0000          4.77436035E+01          1.26011196E+01          9.96976749E+00
         70.0000          4.72873244E+01          1.25969338E+01          9.94710987E+00
         71.0000          4.68447419E+01          1.25941344E+01          9.92564149E+00
         72.0000          4.64152879E+01          1.25926631E+01          9.90531062E+00
         73.0000          4.59984249E+01          1.25924646E+01          9.88606835E+00
         74.0000          4.55936447E+01          1.25934868E+01          9.86786849E+00
         75.0000          4.52004657E+01          1.25956800E+01          9.85066729E+00
         76.0000          4.48184317E+01          1.25989975E+01          9.83442337E+00
         77.0000          4.44471100E+01          1.26033946E+01          9.81909751E+00
         78.0000          4.40860900E+01          1.26088293E+01          9.80465252E+00
         79.0000          4.37349819E+01          1.26152613E+01          9.79105314E+00
         80.0000          4.33934150E+01          1.26226526E+01          9.77826589E+00
         81.0000          4.30610371E+01          1.26309669E+01          9.76625898E+00
         82.0000          4.27375129E+01          1.26401697E+01          9.75500220E+00
         83.0000          4.24225232E+01          1.26502282E+01          9.74446681E+00
         84.0000          4.21157641E+01          1.26611110E+01          9.73462547E+00
         85.0000          4.18169456E+01          1.26727884E+01          9.72545217E+00
         86.0000          4.15257915E+01          1.26852318E+01          9.71692212E+00
         87.0000          4.12420379E+01          1.26984142E+01          9.70901170E+00
         88.0000          4.09654330E+01          1.27123096E+01          9.70169839E+00
         89.0000          4.06957363E+01          1.27268933E+01          9.69496070E+00
         90.0000          4.04327178E+01          1.27421416E+01          9.68877815E+00
         91.0000          4.01761577E+01          1.27580319E+01          9.68313115E+00
         92.0000          3.99258456E+01          1.27745424E+01          9.67800100E+00
         93.0000          3.96815802E+01          1.27916526E+01          9.67336983E+00
         94.0000          3.94431686E+01          1.28093424E+01          9.66922056E+00
         95.0000          3.92104261E+01          1.28275931E+01          9.66553682E+00
         96.0000          3.89831756E+01          1.28463862E+01          9.66230299E+00
         97.0000          3.87612473E+01          1.28657044E+01          9.65950409E+00
         98.0000          3.85444783E+01          1.28855309E+01          9.65712577E+00
