#Energy      O-K-shell   Valence  Total
          0.1000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.2000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.3000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.4000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.5000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.6000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.7000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.8000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          0.9000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          1.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          2.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          3.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          4.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          5.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          6.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          7.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          8.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
          9.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         10.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         11.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         12.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         13.0000          1.00000000E+30          3.33333333E+29          1.00000000E+30
         14.0000          1.00000000E+30          1.69282063E+02          1.69282063E+02
         15.0000          1.00000000E+30          1.55204443E+02          1.55204443E+02
         16.0000          1.00000000E+30          1.46527042E+02          1.46527042E+02
         17.0000          1.00000000E+30          1.42212628E+02          1.42212628E+02
         18.0000          1.00000000E+30          1.39827710E+02          1.39827710E+02
         19.0000          1.00000000E+30          1.38741564E+02          1.38741564E+02
         20.0000          1.00000000E+30          1.38791272E+02          1.38791272E+02
         21.0000          1.00000000E+30          1.39431311E+02          1.39431311E+02
         22.0000          1.00000000E+30          1.41060761E+02          1.41060761E+02
         23.0000          1.00000000E+30          1.43094838E+02          1.43094838E+02
         24.0000          1.00000000E+30          1.45113306E+02          1.45113306E+02
         25.0000          1.00000000E+30          1.47770771E+02          1.47770771E+02
         26.0000          1.00000000E+30          1.50508603E+02          1.50508603E+02
         27.0000          1.00000000E+30          1.53762924E+02          1.53762924E+02
         28.0000          1.00000000E+30          1.57081892E+02          1.57081892E+02
         29.0000          1.00000000E+30          1.53236183E+02          1.53236183E+02
         30.0000          1.00000000E+30          1.55828619E+02          1.55828619E+02
         31.0000          1.00000000E+30          1.58630871E+02          1.58630871E+02
         32.0000          1.00000000E+30          1.61611958E+02          1.61611958E+02
         33.0000          1.00000000E+30          1.64850427E+02          1.64850427E+02
         34.0000          1.00000000E+30          1.68111954E+02          1.68111954E+02
         35.0000          1.00000000E+30          1.71631661E+02          1.71631661E+02
         36.0000          1.00000000E+30          1.75457162E+02          1.75457162E+02
         37.0000          1.00000000E+30          1.79382500E+02          1.79382500E+02
         38.0000          1.00000000E+30          1.83243450E+02          1.83243450E+02
         39.0000          1.00000000E+30          1.87606373E+02          1.87606373E+02
         40.0000          1.00000000E+30          1.92249332E+02          1.92249332E+02
         41.0000          1.00000000E+30          1.96610109E+02          1.96610109E+02
         42.0000          1.00000000E+30          2.01601544E+02          2.01601544E+02
         43.0000          1.00000000E+30          2.06584795E+02          2.06584795E+02
         44.0000          1.00000000E+30          2.11826540E+02          2.11826540E+02
         45.0000          1.00000000E+30          2.17405601E+02          2.17405601E+02
         46.0000          1.00000000E+30          2.22830294E+02          2.22830294E+02
         47.0000          1.00000000E+30          2.28488926E+02          2.28488926E+02
         48.0000          1.00000000E+30          2.34925709E+02          2.34925709E+02
         49.0000          1.00000000E+30          2.40862999E+02          2.40862999E+02
         50.0000          1.00000000E+30          2.47740626E+02          2.47740626E+02
         51.0000          1.00000000E+30          2.54329478E+02          2.54329478E+02
         52.0000          1.00000000E+30          2.60780055E+02          2.60780055E+02
         53.0000          1.00000000E+30          2.68346679E+02          2.68346679E+02
         54.0000          1.00000000E+30          2.75551823E+02          2.75551823E+02
         55.0000          1.00000000E+30          2.82650113E+02          2.82650113E+02
         56.0000          1.00000000E+30          2.90520619E+02          2.90520619E+02
         57.0000          1.00000000E+30          2.98587494E+02          2.98587494E+02
         58.0000          1.00000000E+30          3.07155114E+02          3.07155114E+02
         59.0000          1.00000000E+30          3.14956150E+02          3.14956150E+02
         60.0000          1.00000000E+30          3.24106590E+02          3.24106590E+02
         61.0000          1.00000000E+30          3.32863607E+02          3.32863607E+02
         62.0000          1.00000000E+30          3.41523954E+02          3.41523954E+02
         63.0000          1.00000000E+30          3.50958493E+02          3.50958493E+02
         64.0000          1.00000000E+30          3.60444373E+02          3.60444373E+02
         65.0000          1.00000000E+30          3.70720887E+02          3.70720887E+02
         66.0000          1.00000000E+30          3.81600579E+02          3.81600579E+02
         67.0000          1.00000000E+30          3.90662821E+02          3.90662821E+02
         68.0000          1.00000000E+30          4.01915051E+02          4.01915051E+02
         69.0000          1.00000000E+30          4.11668652E+02          4.11668652E+02
         70.0000          1.00000000E+30          4.23229519E+02          4.23229519E+02
         71.0000          1.00000000E+30          4.33419897E+02          4.33419897E+02
         72.0000          1.00000000E+30          4.45198779E+02          4.45198779E+02
         73.0000          1.00000000E+30          4.57168268E+02          4.57168268E+02
         74.0000          1.00000000E+30          4.68223765E+02          4.68223765E+02
         75.0000          1.00000000E+30          4.80740948E+02          4.80740948E+02
         76.0000          1.00000000E+30          4.92642715E+02          4.92642715E+02
         77.0000          1.00000000E+30          5.05427142E+02          5.05427142E+02
         78.0000          1.00000000E+30          5.18556324E+02          5.18556324E+02
         79.0000          1.00000000E+30          5.31822399E+02          5.31822399E+02
         80.0000          1.00000000E+30          5.44635737E+02          5.44635737E+02
         81.0000          1.00000000E+30          5.58785052E+02          5.58785052E+02
         82.0000          1.00000000E+30          5.73930561E+02          5.73930561E+02
         83.0000          1.00000000E+30          5.85429471E+02          5.85429471E+02
         84.0000          1.00000000E+30          5.99858551E+02          5.99858551E+02
         85.0000          1.00000000E+30          6.15350979E+02          6.15350979E+02
         86.0000          1.00000000E+30          6.30341326E+02          6.30341326E+02
         87.0000          1.00000000E+30          6.44493721E+02          6.44493721E+02
         88.0000          1.00000000E+30          6.60342910E+02          6.60342910E+02
         89.0000          1.00000000E+30          6.76256201E+02          6.76256201E+02
         90.0000          1.00000000E+30          6.90103820E+02          6.90103820E+02
         91.0000          1.00000000E+30          7.06392343E+02          7.06392343E+02
         92.0000          1.00000000E+30          7.22409008E+02          7.22409008E+02
         93.0000          1.00000000E+30          7.40227053E+02          7.40227053E+02
         94.0000          1.00000000E+30          7.55462625E+02          7.55462625E+02
         95.0000          1.00000000E+30          7.72832858E+02          7.72832858E+02
         96.0000          1.00000000E+30          7.90809203E+02          7.90809203E+02
         97.0000          1.00000000E+30          8.06747365E+02          8.06747365E+02
         98.0000          1.00000000E+30          8.25144518E+02          8.25144518E+02
         99.0000          1.00000000E+30          8.41560457E+02          8.41560457E+02
        100.0000          1.00000000E+30          8.60179863E+02          8.60179863E+02
        110.0000          1.00000000E+30          1.05487362E+03          1.05487362E+03
        120.0000          1.00000000E+30          1.27447259E+03          1.27447259E+03
        130.0000          1.00000000E+30          1.52157200E+03          1.52157200E+03
        140.0000          1.00000000E+30          1.79255783E+03          1.79255783E+03
        150.0000          1.00000000E+30          2.09755117E+03          2.09755117E+03
        160.0000          1.00000000E+30          2.42888659E+03          2.42888659E+03
        170.0000          1.00000000E+30          2.79873543E+03          2.79873543E+03
        180.0000          1.00000000E+30          3.19039350E+03          3.19039350E+03
        190.0000          1.00000000E+30          3.61774370E+03          3.61774370E+03
        200.0000          1.00000000E+30          4.08193448E+03          4.08193448E+03
