#Energy      I  Total
          0.1000          1.46461473E+05          1.46461473E+05
          0.2000          7.33387666E+04          7.33387666E+04
          0.3000          4.89479310E+04          4.89479310E+04
          0.4000          3.67460832E+04          3.67460832E+04
          0.5000          2.94216947E+04          2.94216947E+04
          0.6000          2.45368320E+04          2.45368320E+04
          0.7000          2.10463890E+04          2.10463890E+04
          0.8000          1.84276891E+04          1.84276891E+04
          0.9000          1.63902936E+04          1.63902936E+04
          1.0000          1.47599045E+04          1.47599045E+04
          2.0000          7.41525615E+03          7.41525615E+03
          3.0000          4.96198645E+03          4.96198645E+03
          4.0000          3.73343773E+03          3.73343773E+03
          5.0000          2.99535416E+03          2.99535416E+03
          6.0000          2.50274776E+03          2.50274776E+03
          7.0000          2.15053763E+03          2.15053763E+03
          8.0000          1.88614507E+03          1.88614507E+03
          9.0000          1.68034041E+03          1.68034041E+03
         10.0000          1.51557513E+03          1.51557513E+03
         11.0000          1.38067565E+03          1.38067565E+03
         12.0000          1.26818891E+03          1.26818891E+03
         13.0000          1.17295251E+03          1.17295251E+03
         14.0000          1.09127724E+03          1.09127724E+03
         15.0000          1.02045644E+03          1.02045644E+03
         16.0000          9.58459214E+02          9.58459214E+02
         17.0000          9.03731880E+02          9.03731880E+02
         18.0000          8.55065525E+02          8.55065525E+02
         19.0000          8.11505367E+02          8.11505367E+02
         20.0000          7.72287295E+02          7.72287295E+02
         21.0000          7.36792514E+02          7.36792514E+02
         22.0000          7.04514559E+02          7.04514559E+02
         23.0000          6.75034901E+02          6.75034901E+02
         24.0000          6.48004649E+02          6.48004649E+02
         25.0000          6.23130640E+02          6.23130640E+02
         26.0000          6.00164733E+02          6.00164733E+02
         27.0000          5.78895484E+02          5.78895484E+02
         28.0000          5.59141601E+02          5.59141601E+02
         29.0000          5.40746751E+02          5.40746751E+02
         30.0000          5.23575407E+02          5.23575407E+02
         31.0000          5.07509497E+02          5.07509497E+02
         32.0000          4.92445678E+02          4.92445678E+02
         33.0000          4.78293110E+02          4.78293110E+02
         34.0000          4.64971618E+02          4.64971618E+02
         35.0000          4.52410174E+02          4.52410174E+02
         36.0000          4.40545624E+02          4.40545624E+02
         37.0000          4.29321627E+02          4.29321627E+02
         38.0000          4.18687761E+02          4.18687761E+02
         39.0000          4.08598767E+02          4.08598767E+02
         40.0000          3.99013899E+02          3.99013899E+02
