#Energy      Li   F  Total
          0.1000          7.15527592E+00          1.55390310E+02          6.84029982E+00
          0.2000          4.73741139E+00          8.15166898E+01          4.47721430E+00
          0.3000          3.83512375E+00          5.63550760E+01          3.59076214E+00
          0.4000          3.34935440E+00          4.35679263E+01          3.11024901E+00
          0.5000          3.04178803E+00          3.57912835E+01          2.80352528E+00
          0.6000          2.82825316E+00          3.05457809E+01          2.58857534E+00
          0.7000          2.67094795E+00          2.67597932E+01          2.42854960E+00
          0.8000          2.55020275E+00          2.38934804E+01          2.30426371E+00
          0.9000          2.45470099E+00          2.16448902E+01          2.20467364E+00
          1.0000          2.37743686E+00          1.98317167E+01          2.12293792E+00
          2.0000          2.03673905E+00          1.14433158E+01          1.72900247E+00
          3.0000          1.95831745E+00          8.51373318E+00          1.59210386E+00
          4.0000          1.95618564E+00          7.00804508E+00          1.52930436E+00
          5.0000          1.98769225E+00          6.08975850E+00          1.49856262E+00
          6.0000          2.03727094E+00          5.47259525E+00          1.48460159E+00
          7.0000          2.09777354E+00          5.03118002E+00          1.48048044E+00
          8.0000          2.16542084E+00          4.70164633E+00          1.48258968E+00
          9.0000          2.23801291E+00          4.44792389E+00          1.48887305E+00
         10.0000          2.31417606E+00          4.24804799E+00          1.49807914E+00
         11.0000          2.39300529E+00          4.08785178E+00          1.50940699E+00
         12.0000          2.47387864E+00          3.95777336E+00          1.52232288E+00
         13.0000          2.55635376E+00          3.85111705E+00          1.53645921E+00
         14.0000          2.64010703E+00          3.76304929E+00          1.55155557E+00
         15.0000          2.72489597E+00          3.68999022E+00          1.56742290E+00
         16.0000          2.81053520E+00          3.62923001E+00          1.58392090E+00
         17.0000          2.89688045E+00          3.57867832E+00          1.60094343E+00
         18.0000          2.98381776E+00          3.53669594E+00          1.61840871E+00
         19.0000          3.07125588E+00          3.50197873E+00          1.63625268E+00
         20.0000          3.15912088E+00          3.47347570E+00          1.65442440E+00
         21.0000          3.24735221E+00          3.45033012E+00          1.67288274E+00
         22.0000          3.33589982E+00          3.43183643E+00          1.69159407E+00
         23.0000          3.42472198E+00          3.41740809E+00          1.71053056E+00
         24.0000          3.51378363E+00          3.40655342E+00          1.72966888E+00
         25.0000          3.60305510E+00          3.39885706E+00          1.74898927E+00
         26.0000          3.69251112E+00          3.39396564E+00          1.76847484E+00
         27.0000          3.78213004E+00          3.39157659E+00          1.78811100E+00
         28.0000          3.87189320E+00          3.39142931E+00          1.80788504E+00
         29.0000          3.96178447E+00          3.39329806E+00          1.82778582E+00
         30.0000          4.05178980E+00          3.39698633E+00          1.84780349E+00
         31.0000          4.14189693E+00          3.40232224E+00          1.86792930E+00
         32.0000          4.23209510E+00          3.40915478E+00          1.88815540E+00
         33.0000          4.32237483E+00          3.41735071E+00          1.90847474E+00
         34.0000          4.41272777E+00          3.42679204E+00          1.92888095E+00
         35.0000          4.50314650E+00          3.43737390E+00          1.94936824E+00
         36.0000          4.59362444E+00          3.44900272E+00          1.96993132E+00
         37.0000          4.68415570E+00          3.46159480E+00          1.99056539E+00
         38.0000          4.77473503E+00          3.47507501E+00          2.01126599E+00
         39.0000          4.86535774E+00          3.48937574E+00          2.03202907E+00
         40.0000          4.95601960E+00          3.50443594E+00          2.05285083E+00
         41.0000          5.04671679E+00          3.52020038E+00          2.07372781E+00
         42.0000          5.13744590E+00          3.53661897E+00          2.09465676E+00
         43.0000          5.22820381E+00          3.55364616E+00          2.11563468E+00
         44.0000          5.31898771E+00          3.57124043E+00          2.13665877E+00
         45.0000          5.40979506E+00          3.58936389E+00          2.15772642E+00
         46.0000          5.50062354E+00          3.60798186E+00          2.17883519E+00
         47.0000          5.59147104E+00          3.62706255E+00          2.19998278E+00
         48.0000          5.68233564E+00          3.64657675E+00          2.22116707E+00
         49.0000          5.77321559E+00          3.66649761E+00          2.24238604E+00
         50.0000          5.86410927E+00          3.68680036E+00          2.26363781E+00
         51.0000          5.95501523E+00          3.70746216E+00          2.28492060E+00
         52.0000          6.04593212E+00          3.72846187E+00          2.30623274E+00
         53.0000          6.13685870E+00          3.74977995E+00          2.32757265E+00
         54.0000          6.22779384E+00          3.77139825E+00          2.34893885E+00
         55.0000          6.31873649E+00          3.79329993E+00          2.37032994E+00
         56.0000          6.40968571E+00          3.81546934E+00          2.39174459E+00
         57.0000          6.50064061E+00          3.83789191E+00          2.41318156E+00
         57.9990          6.59150941E+00          3.86053128E+00          2.43461818E+00
         58.0000          6.59160037E+00          3.86055406E+00          2.43463964E+00
         58.0010          6.59169133E+00          3.86057683E+00          2.43466111E+00
         59.0000          6.68256424E+00          3.88344311E+00          2.45611774E+00
         60.0000          6.77353153E+00          3.90654724E+00          2.47761477E+00
         61.0000          6.86450161E+00          3.92985536E+00          2.49912973E+00
         62.0000          6.95547387E+00          3.95335713E+00          2.52066167E+00
         63.0000          7.04644777E+00          3.97704282E+00          2.54220968E+00
         64.0000          7.13742281E+00          4.00090332E+00          2.56377290E+00
         65.0000          7.22839852E+00          4.02493010E+00          2.58535050E+00
         66.0000          7.31937446E+00          4.04911510E+00          2.60694171E+00
         67.0000          7.41035023E+00          4.07345076E+00          2.62854579E+00
         68.0000          7.50132545E+00          4.09792997E+00          2.65016204E+00
         69.0000          7.59229979E+00          4.12254602E+00          2.67178978E+00
         70.0000          7.68327292E+00          4.14729258E+00          2.69342837E+00
         71.0000          7.77424454E+00          4.17216369E+00          2.71507721E+00
         72.0000          7.86521438E+00          4.19715370E+00          2.73673572E+00
         73.0000          7.95618219E+00          4.22225729E+00          2.75840335E+00
         74.0000          8.04714771E+00          4.24746942E+00          2.78007956E+00
         75.0000          8.13811074E+00          4.27278531E+00          2.80176386E+00
         76.0000          8.22907107E+00          4.29820045E+00          2.82345576E+00
         77.0000          8.32002851E+00          4.32371054E+00          2.84515481E+00
         78.0000          8.41098288E+00          4.34931154E+00          2.86686057E+00
         79.0000          8.50193402E+00          4.37499959E+00          2.88857262E+00
         80.0000          8.59288178E+00          4.40077101E+00          2.91029056E+00
         81.0000          8.68382602E+00          4.42662234E+00          2.93201401E+00
         82.0000          8.77476661E+00          4.45255027E+00          2.95374261E+00
         83.0000          8.86570342E+00          4.47855165E+00          2.97547600E+00
         84.0000          8.95663636E+00          4.50462348E+00          2.99721385E+00
         85.0000          9.04756530E+00          4.53076292E+00          3.01895585E+00
         86.0000          9.13849017E+00          4.55696725E+00          3.04070168E+00
         87.0000          9.22941087E+00          4.58323387E+00          3.06245106E+00
         88.0000          9.32032732E+00          4.60956033E+00          3.08420370E+00
         89.0000          9.41123944E+00          4.63594425E+00          3.10595934E+00
         90.0000          9.50214717E+00          4.66238340E+00          3.12771772E+00
         91.0000          9.59305045E+00          4.68887562E+00          3.14947859E+00
         92.0000          9.68394921E+00          4.71541885E+00          3.17124172E+00
         93.0000          9.77484341E+00          4.74201115E+00          3.19300688E+00
         94.0000          9.86573299E+00          4.76865062E+00          3.21477385E+00
         95.0000          9.95661792E+00          4.79533547E+00          3.23654243E+00
         96.0000          1.00474981E+01          4.82206399E+00          3.25831242E+00
         97.0000          1.01383736E+01          4.84883453E+00          3.28008363E+00
         98.0000          1.02292444E+01          4.87564550E+00          3.30185587E+00
         99.0000          1.03201103E+01          4.90249541E+00          3.32362897E+00
        100.0000          1.04109714E+01          4.92938279E+00          3.34540276E+00
        110.0000          1.13193135E+01          5.20003845E+00          3.56314616E+00
