#Energy      Li   Mn   O  Total
          0.1000          2.67569735E+01          8.42875163E+03          9.99095283E+01          2.10521301E+01
          0.2000          1.77154302E+01          4.24223838E+03          5.30288068E+01          1.32377803E+01
          0.3000          1.43413483E+01          2.84250504E+03          3.69790175E+01          1.02962631E+01
          0.4000          1.25248261E+01          2.14100307E+03          2.87919304E+01          8.69259448E+00
          0.5000          1.13746895E+01          1.71926913E+03          2.37978108E+01          7.66184877E+00
          0.6000          1.05761812E+01          1.43762215E+03          2.04205860E+01          6.93395345E+00
          0.7000          9.98794236E+00          1.23612808E+03          1.79776664E+01          6.38756126E+00
          0.8000          9.53641874E+00          1.08478835E+03          1.61245816E+01          5.95947133E+00
          0.9000          9.17929232E+00          9.66921090E+02          1.46683493E+01          5.61327665E+00
          1.0000          8.89036506E+00          8.72508279E+02          1.34922860E+01          5.32640572E+00
          2.0000          7.61633421E+00          4.45675252E+02          8.02463851E+00          3.87361553E+00
          3.0000          7.32307862E+00          3.02149201E+02          6.10303368E+00          3.29253714E+00
          4.0000          7.31510675E+00          2.29924156E+02          5.11443804E+00          2.97108333E+00
          5.0000          7.43292494E+00          1.86364511E+02          4.51302991E+00          2.76638186E+00
          6.0000          7.61832318E+00          1.57198733E+02          4.11101825E+00          2.62554990E+00
          7.0000          7.84457115E+00          1.36288763E+02          3.82581508E+00          2.52400157E+00
          8.0000          8.09753651E+00          1.20555974E+02          3.61520295E+00          2.44858645E+00
          9.0000          8.36899273E+00          1.08285180E+02          3.45526702E+00          2.39156180E+00
         10.0000          8.65380290E+00          9.84445987E+01          3.33140648E+00          2.34803710E+00
         11.0000          8.94858281E+00          9.03760608E+01          3.23418224E+00          2.31475273E+00
         12.0000          9.25100664E+00          8.36397981E+01          3.15721023E+00          2.28944177E+00
         13.0000          9.55942027E+00          7.79307102E+01          3.09601169E+00          2.27047248E+00
         14.0000          9.87261350E+00          7.30304314E+01          3.04734797E+00          2.25663637E+00
         15.0000          1.01896796E+01          6.87785218E+01          3.00881678E+00          2.24701682E+00
