#Energy      Mg   Co   Ni   Cu   Zn   O  Total
          0.1000          2.00046853E+03          2.95333335E+04          3.33502498E+04          3.75009704E+04          1.00000000E+20          1.35350145E+02          1.25334667E+02
          0.2000          1.02843625E+03          1.48504197E+04          1.67630901E+04          1.88427155E+04          1.00000000E+20          7.18395613E+01          6.63467832E+01
          0.3000          7.00313991E+02          9.94337770E+03          1.12206474E+04          1.26092475E+04          1.00000000E+20          5.00964769E+01          4.61714363E+01
          0.4000          5.34668645E+02          7.48493018E+03          8.44424668E+03          9.48707819E+03          1.00000000E+20          3.90052082E+01          3.58868614E+01
          0.5000          4.34477702E+02          6.00735230E+03          6.77576788E+03          7.61100761E+03          1.00000000E+20          3.22395391E+01          2.96165866E+01
          0.6000          3.67211706E+02          5.02082044E+03          5.66189250E+03          6.35866050E+03          1.00000000E+20          2.76643211E+01          2.53781835E+01
          0.7000          3.18860452E+02          4.31519718E+03          4.86526012E+03          5.46306969E+03          1.00000000E+20          2.43548318E+01          2.23134058E+01
          0.8000          2.82388084E+02          3.78531881E+03          4.26709071E+03          4.79064681E+03          1.00000000E+20          2.18444075E+01          1.99892843E+01
          0.9000          2.53870205E+02          3.37271286E+03          3.80134471E+03          4.26712299E+03          1.00000000E+20          1.98716102E+01          1.81633309E+01
          1.0000          2.30943507E+02          3.04226907E+03          3.42837021E+03          3.84790734E+03          1.00000000E+20          1.82783654E+01          1.66889693E+01
          2.0000          1.25940050E+02          1.54930685E+03          1.74370716E+03          1.95484253E+03          1.00000000E+20          1.08711952E+01          9.83700257E+00
          3.0000          8.98239238E+01          1.04787591E+03          1.17817476E+03          1.31963913E+03          1.00000000E+20          8.26794508E+00          7.42705918E+00
          4.0000          7.13852996E+01          7.95757662E+02          8.93928775E+02          1.00047966E+03          1.00000000E+20          6.92866778E+00          6.18386288E+00
          5.0000          6.01557438E+01          6.43801944E+02          7.22657568E+02          8.08221015E+02          1.00000000E+20          6.11392389E+00          5.42420139E+00
          6.0000          5.25884489E+01          5.42112158E+02          6.08068076E+02          6.79616898E+02          1.00000000E+20          5.56930780E+00          4.91323915E+00
          7.0000          4.71426268E+01          4.69238639E+02          5.25965907E+02          5.87489522E+02          1.00000000E+20          5.18293534E+00          4.54777767E+00
          8.0000          4.30387547E+01          4.14427590E+02          4.64223387E+02          5.18217991E+02          1.00000000E+20          4.89761338E+00          4.27509835E+00
