#Energy      Mg   O  Total
          0.1000          4.47246927E+02          1.21041517E+02          9.52605091E+01
          0.2000          2.29928612E+02          6.42449957E+01          5.02144391E+01
          0.3000          1.56569962E+02          4.48004955E+01          3.48333711E+01
          0.4000          1.19536451E+02          3.48817475E+01          2.70022597E+01
          0.5000          9.71366528E+01          2.88313154E+01          2.22324573E+01
          0.6000          8.20979209E+01          2.47397696E+01          1.90109280E+01
          0.7000          7.12879783E+01          2.17801450E+01          1.66830753E+01
          0.8000          6.31338115E+01          1.95351119E+01          1.49188597E+01
          0.9000          5.67580382E+01          1.77708702E+01          1.35335368E+01
          1.0000          5.16322913E+01          1.63460563E+01          1.24154877E+01
          2.0000          2.81565541E+01          9.72193979E+00          7.22669503E+00
          3.0000          2.00820324E+01          7.39389393E+00          5.40416420E+00
          4.0000          1.59596892E+01          6.19619920E+00          4.46334679E+00
          5.0000          1.34490851E+01          5.46758648E+00          3.88726080E+00
          6.0000          1.17572568E+01          4.98054483E+00          3.49852065E+00
          7.0000          1.05397284E+01          4.63501799E+00          3.21928482E+00
          8.0000          9.62222125E+00          4.37985902E+00          3.00983652E+00
          9.0000          8.90689114E+00          4.18609485E+00          2.84771489E+00
         10.0000          8.33446976E+00          4.03603641E+00          2.71922773E+00
         11.0000          7.86691012E+00          3.91824815E+00          2.61553602E+00
         12.0000          7.47864188E+00          3.82499569E+00          2.53066969E+00
         13.0000          7.15182900E+00          3.75085298E+00          2.46044589E+00
         14.0000          6.87364152E+00          3.69189633E+00          2.40184383E+00
         15.0000          6.63460844E+00          3.64521536E+00          2.35262560E+00
         16.0000          6.42758215E+00          3.60860385E+00          2.31109683E+00
         17.0000          6.24706448E+00          3.58035778E+00          2.27595043E+00
         18.0000          6.08875516E+00          3.55913932E+00          2.24616137E+00
         19.0000          5.94924115E+00          3.54388291E+00          2.22091420E+00
         20.0000          5.82577817E+00          3.53372899E+00          2.19955184E+00
         21.0000          5.71613394E+00          3.52797623E+00          2.18153877E+00
         22.0000          5.61847362E+00          3.52604654E+00          2.16643401E+00
         23.0000          5.53127477E+00          3.52745898E+00          2.15387110E+00
         24.0000          5.45326334E+00          3.53181009E+00          2.14354292E+00
         25.0000          5.38336480E+00          3.53875880E+00          2.13519005E+00
