#Energy      C-K-shell   N-K-shell   Valence  Total
          0.1000          1.00000000E+30          1.00000000E+30          2.25794260E+03          2.25794260E+03
          0.2000          1.00000000E+30          1.00000000E+30          1.41594454E+03          1.41594454E+03
          0.3000          1.00000000E+30          1.00000000E+30          1.02488021E+03          1.02488021E+03
          0.4000          1.00000000E+30          1.00000000E+30          8.07460420E+02          8.07460420E+02
          0.5000          1.00000000E+30          1.00000000E+30          6.66378242E+02          6.66378242E+02
          0.6000          1.00000000E+30          1.00000000E+30          5.67884725E+02          5.67884725E+02
          0.7000          1.00000000E+30          1.00000000E+30          4.95374334E+02          4.95374334E+02
          0.8000          1.00000000E+30          1.00000000E+30          4.39819189E+02          4.39819189E+02
          0.9000          1.00000000E+30          1.00000000E+30          3.96034838E+02          3.96034838E+02
          1.0000          1.00000000E+30          1.00000000E+30          3.60532592E+02          3.60532592E+02
          2.0000          1.00000000E+30          1.00000000E+30          1.96285103E+02          1.96285103E+02
          3.0000          1.00000000E+30          1.00000000E+30          1.39536405E+02          1.39536405E+02
          4.0000          1.00000000E+30          1.00000000E+30          1.10519144E+02          1.10519144E+02
          5.0000          1.00000000E+30          1.00000000E+30          9.27449606E+01          9.27449606E+01
          6.0000          1.00000000E+30          1.00000000E+30          8.06455074E+01          8.06455074E+01
          7.0000          1.00000000E+30          1.00000000E+30          7.18253628E+01          7.18253628E+01
          8.0000          1.00000000E+30          1.00000000E+30          6.50750489E+01          6.50750489E+01
          9.0000          1.00000000E+30          1.00000000E+30          5.97184279E+01          5.97184279E+01
         10.0000          1.00000000E+30          1.00000000E+30          5.53456976E+01          5.53456976E+01
         11.0000          1.00000000E+30          1.00000000E+30          5.16955372E+01          5.16955372E+01
         12.0000          1.00000000E+30          1.00000000E+30          4.85923718E+01          4.85923718E+01
         13.0000          1.00000000E+30          1.00000000E+30          4.59145589E+01          4.59145589E+01
         14.0000          1.00000000E+30          1.00000000E+30          4.35734601E+01          4.35734601E+01
         15.0000          1.00000000E+30          1.00000000E+30          4.15039541E+01          4.15039541E+01
         16.0000          1.00000000E+30          1.00000000E+30          3.96572366E+01          3.96572366E+01
         17.0000          1.00000000E+30          1.00000000E+30          3.79952491E+01          3.79952491E+01
         18.0000          1.00000000E+30          1.00000000E+30          3.64884827E+01          3.64884827E+01
         19.0000          1.00000000E+30          1.00000000E+30          3.51134055E+01          3.51134055E+01
         20.0000          1.00000000E+30          1.00000000E+30          3.38510108E+01          3.38510108E+01
         21.0000          1.00000000E+30          1.00000000E+30          3.26857784E+01          3.26857784E+01
         22.0000          1.00000000E+30          1.00000000E+30          3.16050544E+01          3.16050544E+01
         23.0000          1.00000000E+30          1.00000000E+30          3.05982730E+01          3.05982730E+01
         24.0000          1.00000000E+30          1.00000000E+30          2.96565140E+01          2.96565140E+01
         25.0000          1.00000000E+30          1.00000000E+30          2.87722764E+01          2.87722764E+01
         26.0000          1.00000000E+30          1.00000000E+30          2.79391684E+01          2.79391684E+01
         27.0000          1.00000000E+30          1.00000000E+30          2.71517122E+01          2.71517122E+01
         28.0000          1.00000000E+30          1.00000000E+30          2.64051961E+01          2.64051961E+01
         29.0000          1.00000000E+30          1.00000000E+30          2.56955174E+01          2.56955174E+01
         30.0000          1.00000000E+30          1.00000000E+30          2.50191139E+01          2.50191139E+01
         31.0000          1.00000000E+30          1.00000000E+30          2.43728526E+01          2.43728526E+01
         32.0000          1.00000000E+30          1.00000000E+30          2.37539970E+01          2.37539970E+01
         33.0000          1.00000000E+30          1.00000000E+30          2.31601132E+01          2.31601132E+01
         34.0000          1.00000000E+30          1.00000000E+30          2.25890501E+01          2.25890501E+01
         35.0000          1.00000000E+30          1.00000000E+30          2.20388929E+01          2.20388929E+01
         36.0000          1.00000000E+30          1.00000000E+30          2.15079330E+01          2.15079330E+01
         37.0000          1.00000000E+30          1.00000000E+30          2.09946409E+01          2.09946409E+01
         38.0000          1.00000000E+30          1.00000000E+30          2.04976439E+01          2.04976439E+01
         39.0000          1.00000000E+30          1.00000000E+30          2.00157063E+01          2.00157063E+01
         40.0000          1.00000000E+30          1.00000000E+30          1.95477162E+01          1.95477162E+01
         41.0000          1.00000000E+30          1.00000000E+30          1.90926675E+01          1.90926675E+01
         42.0000          1.00000000E+30          1.00000000E+30          1.86496505E+01          1.86496505E+01
         43.0000          1.00000000E+30          1.00000000E+30          1.82178423E+01          1.82178423E+01
         44.0000          1.00000000E+30          1.00000000E+30          1.77964989E+01          1.77964989E+01
         45.0000          1.00000000E+30          1.00000000E+30          1.73849446E+01          1.73849446E+01
         46.0000          1.00000000E+30          1.00000000E+30          1.69825689E+01          1.69825689E+01
         47.0000          1.00000000E+30          1.00000000E+30          1.65888202E+01          1.65888202E+01
         48.0000          1.00000000E+30          1.00000000E+30          1.62032017E+01          1.62032017E+01
         49.0000          1.00000000E+30          1.00000000E+30          1.58252675E+01          1.58252675E+01
         50.0000          1.00000000E+30          1.00000000E+30          1.54546198E+01          1.54546198E+01
         51.0000          1.00000000E+30          1.00000000E+30          1.50909063E+01          1.50909063E+01
         52.0000          1.00000000E+30          1.00000000E+30          1.47338186E+01          1.47338186E+01
         53.0000          1.00000000E+30          1.00000000E+30          1.43830907E+01          1.43830907E+01
         54.0000          1.00000000E+30          1.00000000E+30          1.40384980E+01          1.40384980E+01
         55.0000          1.00000000E+30          1.00000000E+30          1.36998571E+01          1.36998571E+01
         56.0000          1.00000000E+30          1.00000000E+30          1.33670252E+01          1.33670252E+01
         57.0000          1.00000000E+30          1.00000000E+30          1.30399020E+01          1.30399020E+01
         58.0000          1.00000000E+30          1.00000000E+30          1.27184262E+01          1.27184262E+01
         59.0000          1.00000000E+30          1.00000000E+30          1.24025782E+01          1.24025782E+01
         60.0000          1.00000000E+30          1.00000000E+30          1.20923822E+01          1.20923822E+01
         61.0000          1.00000000E+30          1.00000000E+30          1.17879020E+01          1.17879020E+01
         62.0000          1.00000000E+30          1.00000000E+30          1.14892433E+01          1.14892433E+01
         63.0000          1.00000000E+30          1.00000000E+30          1.11965520E+01          1.11965520E+01
         64.0000          1.00000000E+30          1.00000000E+30          1.09100125E+01          1.09100125E+01
         65.0000          1.00000000E+30          1.00000000E+30          1.06298444E+01          1.06298444E+01
         66.0000          1.00000000E+30          1.00000000E+30          1.03562981E+01          1.03562981E+01
         67.0000          1.00000000E+30          1.00000000E+30          1.00896492E+01          1.00896492E+01
         68.0000          1.00000000E+30          1.00000000E+30          9.83019086E+00          9.83019086E+00
         69.0000          1.00000000E+30          1.00000000E+30          9.57822518E+00          9.57822518E+00
         70.0000          1.00000000E+30          1.00000000E+30          9.33405301E+00          9.33405301E+00
         71.0000          1.00000000E+30          1.00000000E+30          9.09796303E+00          9.09796303E+00
         72.0000          1.00000000E+30          1.00000000E+30          8.87022058E+00          8.87022058E+00
         73.0000          1.00000000E+30          1.00000000E+30          8.65105688E+00          8.65105688E+00
         74.0000          1.00000000E+30          1.00000000E+30          8.44065933E+00          8.44065933E+00
         75.0000          1.00000000E+30          1.00000000E+30          8.23916347E+00          8.23916347E+00
         76.0000          1.00000000E+30          1.00000000E+30          8.04664777E+00          8.04664777E+00
         77.0000          1.00000000E+30          1.00000000E+30          7.86312996E+00          7.86312996E+00
         78.0000          1.00000000E+30          1.00000000E+30          7.68856710E+00          7.68856710E+00
         79.0000          1.00000000E+30          1.00000000E+30          7.52285759E+00          7.52285759E+00
         80.0000          1.00000000E+30          1.00000000E+30          7.36584546E+00          7.36584546E+00
         81.0000          1.00000000E+30          1.00000000E+30          7.21732633E+00          7.21732633E+00
         82.0000          1.00000000E+30          1.00000000E+30          7.07705444E+00          7.07705444E+00
         83.0000          1.00000000E+30          1.00000000E+30          6.94475030E+00          6.94475030E+00
         84.0000          1.00000000E+30          1.00000000E+30          6.82010837E+00          6.82010837E+00
         85.0000          1.00000000E+30          1.00000000E+30          6.70280447E+00          6.70280447E+00
         86.0000          1.00000000E+30          1.00000000E+30          6.59250258E+00          6.59250258E+00
         87.0000          1.00000000E+30          1.00000000E+30          6.48886092E+00          6.48886092E+00
         88.0000          1.00000000E+30          1.00000000E+30          6.39153712E+00          6.39153712E+00
