#Energy      Os  Total
          0.1000          1.55386339E+05          1.55386339E+05
          0.2000          7.77489112E+04          7.77489112E+04
          0.3000          5.18611802E+04          5.18611802E+04
          0.4000          3.89139864E+04          3.89139864E+04
          0.5000          3.11439717E+04          3.11439717E+04
          0.6000          2.59629581E+04          2.59629581E+04
          0.7000          2.22615834E+04          2.22615834E+04
          0.8000          1.94851024E+04          1.94851024E+04
          0.9000          1.73252908E+04          1.73252908E+04
          1.0000          1.55971961E+04          1.55971961E+04
          2.0000          7.81666267E+03          7.81666267E+03
          3.0000          5.22051439E+03          5.22051439E+03
          4.0000          3.92143565E+03          3.92143565E+03
          5.0000          3.14148441E+03          3.14148441E+03
          6.0000          2.62122423E+03          2.62122423E+03
          7.0000          2.24942338E+03          2.24942338E+03
          8.0000          1.97044612E+03          1.97044612E+03
          9.0000          1.75337367E+03          1.75337367E+03
         10.0000          1.57964918E+03          1.57964918E+03
         11.0000          1.43746045E+03          1.43746045E+03
         12.0000          1.31893057E+03          1.31893057E+03
         13.0000          1.21860496E+03          1.21860496E+03
         14.0000          1.13258656E+03          1.13258656E+03
         15.0000          1.05801686E+03          1.05801686E+03
         16.0000          9.92751517E+02          9.92751517E+02
         17.0000          9.35150406E+02          9.35150406E+02
         18.0000          8.83937606E+02          8.83937606E+02
         19.0000          8.38105619E+02          8.38105619E+02
         20.0000          7.96848292E+02          7.96848292E+02
         21.0000          7.59512907E+02          7.59512907E+02
         22.0000          7.25565327E+02          7.25565327E+02
         23.0000          6.94564232E+02          6.94564232E+02
         24.0000          6.66141794E+02          6.66141794E+02
         25.0000          6.39988987E+02          6.39988987E+02
         26.0000          6.15844285E+02          6.15844285E+02
         27.0000          5.93484874E+02          5.93484874E+02
         28.0000          5.72719739E+02          5.72719739E+02
         29.0000          5.53384189E+02          5.53384189E+02
         30.0000          5.35335470E+02          5.35335470E+02
         31.0000          5.18449233E+02          5.18449233E+02
         32.0000          5.02616653E+02          5.02616653E+02
         33.0000          4.87742087E+02          4.87742087E+02
         34.0000          4.73741130E+02          4.73741130E+02
         35.0000          4.60539016E+02          4.60539016E+02
         36.0000          4.48069275E+02          4.48069275E+02
         37.0000          4.36272618E+02          4.36272618E+02
         38.0000          4.25095989E+02          4.25095989E+02
         39.0000          4.14491767E+02          4.14491767E+02
         40.0000          4.04417091E+02          4.04417091E+02
         41.0000          3.94833274E+02          3.94833274E+02
         42.0000          3.85705311E+02          3.85705311E+02
         43.0000          3.77001449E+02          3.77001449E+02
         44.0000          3.68692819E+02          3.68692819E+02
         45.0000          3.60753114E+02          3.60753114E+02
         46.0000          3.53158314E+02          3.53158314E+02
         47.0000          3.45886439E+02          3.45886439E+02
         48.0000          3.38917339E+02          3.38917339E+02
         48.9990          3.32239056E+02          3.32239056E+02
         49.0000          3.32232508E+02          3.32232508E+02
         49.0010          3.32225959E+02          3.32225959E+02
         50.0000          3.25814917E+02          3.25814917E+02
         51.0000          3.19648874E+02          3.19648874E+02
         52.0000          3.13719888E+02          3.13719888E+02
         53.0000          3.08014565E+02          3.08014565E+02
         53.9990          3.02525892E+02          3.02525892E+02
         54.0000          3.02520499E+02          3.02520499E+02
         54.0010          3.02515107E+02          3.02515107E+02
         55.0000          2.97226187E+02          2.97226187E+02
         55.9990          2.92125960E+02          2.92125960E+02
         56.0000          2.92120945E+02          2.92120945E+02
         56.0010          2.92115931E+02          2.92115931E+02
         57.0000          2.87194839E+02          2.87194839E+02
         58.0000          2.82438619E+02          2.82438619E+02
         59.0000          2.77843661E+02          2.77843661E+02
         60.0000          2.73401915E+02          2.73401915E+02
         60.9990          2.69110085E+02          2.69110085E+02
         61.0000          2.69105859E+02          2.69105859E+02
         61.0010          2.69101634E+02          2.69101634E+02
         62.0000          2.64948456E+02          2.64948456E+02
         63.0000          2.60923114E+02          2.60923114E+02
         64.0000          2.57023652E+02          2.57023652E+02
         65.0000          2.53244272E+02          2.53244272E+02
         66.0000          2.49579523E+02          2.49579523E+02
         67.0000          2.46024281E+02          2.46024281E+02
         68.0000          2.42573725E+02          2.42573725E+02
         69.0000          2.39223308E+02          2.39223308E+02
         70.0000          2.35968748E+02          2.35968748E+02
         71.0000          2.32806000E+02          2.32806000E+02
         72.0000          2.29731245E+02          2.29731245E+02
         73.0000          2.26740873E+02          2.26740873E+02
         74.0000          2.23831470E+02          2.23831470E+02
         75.0000          2.20999800E+02          2.20999800E+02
         76.0000          2.18242802E+02          2.18242802E+02
         77.0000          2.15557570E+02          2.15557570E+02
         78.0000          2.12941349E+02          2.12941349E+02
         79.0000          2.10391522E+02          2.10391522E+02
         80.0000          2.07905604E+02          2.07905604E+02
         81.0000          2.05481231E+02          2.05481231E+02
         82.0000          2.03116156E+02          2.03116156E+02
         83.0000          2.00808238E+02          2.00808238E+02
         84.0000          1.98555440E+02          1.98555440E+02
         85.0000          1.96355819E+02          1.96355819E+02
         86.0000          1.94207523E+02          1.94207523E+02
         87.0000          1.92108785E+02          1.92108785E+02
         88.0000          1.90057918E+02          1.90057918E+02
         89.0000          1.88053311E+02          1.88053311E+02
         90.0000          1.86093425E+02          1.86093425E+02
         91.0000          1.84176787E+02          1.84176787E+02
         91.9990          1.82303844E+02          1.82303844E+02
         92.0000          1.82301990E+02          1.82301990E+02
         92.0010          1.82300136E+02          1.82300136E+02
         93.0000          1.80467685E+02          1.80467685E+02
         94.0000          1.78672583E+02          1.78672583E+02
         95.0000          1.76915446E+02          1.76915446E+02
         96.0000          1.75195092E+02          1.75195092E+02
         97.0000          1.73510383E+02          1.73510383E+02
         98.0000          1.71860229E+02          1.71860229E+02
         99.0000          1.70243587E+02          1.70243587E+02
        100.0000          1.68659451E+02          1.68659451E+02
        110.0000          1.54411170E+02          1.54411170E+02
        120.0000          1.42553123E+02          1.42553123E+02
        130.0000          1.32534326E+02          1.32534326E+02
        140.0000          1.23961039E+02          1.23961039E+02
        150.0000          1.16544396E+02          1.16544396E+02
        160.0000          1.10067668E+02          1.10067668E+02
        170.0000          1.04365063E+02          1.04365063E+02
        180.0000          9.93075951E+01          9.93075951E+01
        190.0000          9.47934024E+01          9.47934024E+01
        200.0000          9.07409771E+01          9.07409771E+01
        210.0000          8.70843219E+01          8.70843219E+01
        220.0000          8.37694288E+01          8.37694288E+01
        230.0000          8.07516750E+01          8.07516750E+01
        240.0000          7.79938698E+01          7.79938698E+01
        250.0000          7.54647688E+01          7.54647688E+01
        260.0000          7.31379320E+01          7.31379320E+01
        270.0000          7.09908348E+01          7.09908348E+01
        279.9990          6.90043601E+01          6.90043601E+01
        280.0000          6.90041689E+01          6.90041689E+01
        280.0010          6.90039777E+01          6.90039777E+01
        290.0000          6.71612888E+01          6.71612888E+01
        294.9990          6.62893550E+01          6.62893550E+01
        295.0010          6.62890124E+01          6.62890124E+01
        300.0000          6.54477680E+01          6.54477680E+01
        310.0000          6.38510412E+01          6.38510412E+01
        320.0000          6.23601141E+01          6.23601141E+01
        330.0000          6.09653252E+01          6.09653252E+01
        340.0000          5.96581501E+01          5.96581501E+01
        350.0000          5.84310390E+01          5.84310390E+01
        360.0000          5.72772813E+01          5.72772813E+01
        370.0000          5.61908925E+01          5.61908925E+01
        380.0000          5.51665187E+01          5.51665187E+01
        390.0000          5.41993554E+01          5.41993554E+01
        400.0000          5.32850794E+01          5.32850794E+01
        410.0000          5.24197896E+01          5.24197896E+01
        420.0000          5.15999571E+01          5.15999571E+01
        430.0000          5.08223816E+01          5.08223816E+01
        440.0000          5.00841544E+01          5.00841544E+01
        450.0000          4.93826260E+01          4.93826260E+01
        460.0000          4.87153774E+01          4.87153774E+01
        470.0000          4.80801962E+01          4.80801962E+01
