#Energy      C   H   F  Total
          0.1000          7.73733256E+01          3.23708737E+00          2.72698853E+02          3.07209203E+00
          0.2000          4.27431671E+01          2.98232174E+00          1.43055946E+02          2.73451881E+00
          0.3000          3.06822957E+01          2.90060011E+00          9.88991178E+01          2.58091396E+00
          0.4000          2.44546669E+01          2.87219227E+00          7.64585869E+01          2.48671427E+00
          0.5000          2.06192956E+01          2.86818955E+00          6.28111363E+01          2.42089134E+00
          0.6000          1.80051697E+01          2.87769107E+00          5.36056554E+01          2.37138120E+00
          0.7000          1.61016462E+01          2.89556482E+00          4.69615184E+01          2.33233298E+00
          0.8000          1.46494938E+01          2.91904083E+00          4.19313449E+01          2.30049775E+00
          0.9000          1.35027140E+01          2.94647737E+00          3.79852303E+01          2.27389768E+00
          1.0000          1.25726075E+01          2.97683252E+00          3.48032410E+01          2.25124587E+00
          2.0000          8.19683682E+00          3.35239052E+00          2.00821987E+01          2.12726024E+00
          3.0000          6.64640174E+00          3.77380709E+00          1.49409913E+01          2.07309006E+00
          4.0000          5.85892859E+00          4.20920347E+00          1.22986166E+01          2.04263273E+00
          5.0000          5.39355288E+00          4.65085805E+00          1.06870895E+01          2.02432642E+00
          6.0000          5.09619441E+00          5.09587998E+00          9.60401228E+00          2.01375409E+00
          7.0000          4.89826404E+00          5.54292401E+00          8.82936020E+00          2.00874752E+00
          8.0000          4.76435153E+00          5.99127435E+00          8.25105220E+00          2.00803932E+00
          9.0000          4.67423027E+00          6.44051356E+00          7.80578751E+00          2.01079329E+00
         10.0000          4.61546254E+00          6.89038135E+00          7.45501964E+00          2.01641090E+00
         11.0000          4.57995731E+00          7.34070692E+00          7.17388677E+00          2.02444002E+00
         12.0000          4.56221213E+00          7.79137359E+00          6.94560848E+00          2.03452652E+00
         13.0000          4.55834789E+00          8.24229903E+00          6.75843431E+00          2.04638599E+00
         14.0000          4.56554732E+00          8.69342355E+00          6.60388169E+00          2.05978585E+00
         15.0000          4.58171252E+00          9.14470291E+00          6.47566827E+00          2.07453324E+00
         16.0000          4.60524759E+00          9.59610368E+00          6.36903846E+00          2.09046651E+00
         17.0000          4.63491600E+00          1.00476002E+01          6.28032386E+00          2.10744891E+00
         18.0000          4.66974414E+00          1.04991725E+01          6.20664780E+00          2.12536389E+00
         19.0000          4.70895454E+00          1.09508049E+01          6.14572158E+00          2.14411141E+00
         20.0000          4.75191856E+00          1.14024846E+01          6.09570080E+00          2.16360512E+00
         21.0000          4.79812218E+00          1.18542018E+01          6.05508198E+00          2.18377005E+00
         22.0000          4.84714091E+00          1.23059482E+01          6.02262687E+00          2.20454080E+00
         23.0000          4.89862095E+00          1.27577170E+01          5.99730618E+00          2.22586005E+00
         24.0000          4.95226506E+00          1.32095029E+01          5.97825701E+00          2.24767735E+00
         25.0000          5.00782158E+00          1.36613012E+01          5.96475044E+00          2.26994812E+00
         26.0000          5.06507604E+00          1.41131083E+01          5.95616635E+00          2.29263283E+00
         27.0000          5.12384448E+00          1.45649208E+01          5.95197375E+00          2.31569627E+00
         28.0000          5.18396819E+00          1.50167363E+01          5.95171527E+00          2.33910701E+00
         29.0000          5.24530953E+00          1.54685524E+01          5.95499479E+00          2.36283691E+00
         30.0000          5.30774853E+00          1.59203674E+01          5.96146745E+00          2.38686068E+00
         31.0000          5.37118012E+00          1.63721795E+01          5.97083159E+00          2.41115552E+00
         32.0000          5.43551194E+00          1.68239876E+01          5.98282220E+00          2.43570085E+00
         33.0000          5.50066241E+00          1.72757905E+01          5.99720548E+00          2.46047804E+00
         34.0000          5.56655923E+00          1.77275872E+01          6.01377434E+00          2.48547016E+00
         35.0000          5.63313812E+00          1.81793768E+01          6.03234473E+00          2.51066184E+00
         36.0000          5.70034170E+00          1.86311588E+01          6.05275248E+00          2.53603903E+00
         37.0000          5.76811861E+00          1.90829325E+01          6.07485068E+00          2.56158892E+00
         38.0000          5.83642276E+00          1.95346975E+01          6.09850749E+00          2.58729977E+00
         39.0000          5.90521264E+00          1.99864533E+01          6.12360424E+00          2.61316083E+00
         40.0000          5.97445079E+00          2.04381996E+01          6.15003380E+00          2.63916221E+00
         41.0000          6.04410331E+00          2.08899361E+01          6.17769927E+00          2.66529482E+00
         42.0000          6.11413946E+00          2.13416626E+01          6.20651272E+00          2.69155027E+00
         43.0000          6.18453130E+00          2.17933789E+01          6.23639421E+00          2.71792082E+00
         44.0000          6.25525336E+00          2.22450847E+01          6.26727090E+00          2.74439932E+00
         45.0000          6.32628240E+00          2.26967801E+01          6.29907628E+00          2.77097913E+00
