#Energy      C   H  Total
          0.1000          7.14362465E+01          1.49434814E+00          1.46372895E+00
          0.2000          3.94633602E+01          1.37673978E+00          1.33032921E+00
          0.3000          2.83279544E+01          1.33901434E+00          1.27857812E+00
          0.4000          2.25781896E+01          1.32590032E+00          1.25235593E+00
          0.5000          1.90371174E+01          1.32405253E+00          1.23795163E+00
          0.6000          1.66235809E+01          1.32843875E+00          1.23013508E+00
          0.7000          1.48661203E+01          1.33668988E+00          1.22641642E+00
          0.8000          1.35253958E+01          1.34752719E+00          1.22543757E+00
          0.9000          1.24666117E+01          1.36019282E+00          1.22638573E+00
          1.0000          1.16078749E+01          1.37420577E+00          1.22874053E+00
          2.0000          7.56786981E+00          1.54757595E+00          1.28483605E+00
          3.0000          6.13640410E+00          1.74211598E+00          1.35689540E+00
          4.0000          5.40935605E+00          1.94310955E+00          1.42958458E+00
          5.0000          4.97968996E+00          2.14699213E+00          1.50018691E+00
          6.0000          4.70514867E+00          2.35242918E+00          1.56831838E+00
          7.0000          4.52240607E+00          2.55879971E+00          1.63417527E+00
          8.0000          4.39876905E+00          2.76577327E+00          1.69808444E+00
          9.0000          4.31556306E+00          2.97315716E+00          1.76037038E+00
         10.0000          4.26130475E+00          3.18083123E+00          1.82131733E+00
         11.0000          4.22852393E+00          3.38871662E+00          1.88116277E+00
         12.0000          4.21214040E+00          3.59675948E+00          1.94010118E+00
         13.0000          4.20857267E+00          3.80492179E+00          1.99829050E+00
         14.0000          4.21521967E+00          4.01317600E+00          2.05585865E+00
         15.0000          4.23014446E+00          4.22150170E+00          2.11290933E+00
         16.0000          4.25187362E+00          4.42988344E+00          2.16952679E+00
         17.0000          4.27926549E+00          4.63830939E+00          2.22577972E+00
         18.0000          4.31142116E+00          4.84677032E+00          2.28172431E+00
         19.0000          4.34762283E+00          5.05525896E+00          2.33740674E+00
         20.0000          4.38729010E+00          5.26376951E+00          2.39286511E+00
         21.0000          4.42994839E+00          5.47229731E+00          2.44813100E+00
         22.0000          4.47520576E+00          5.68083859E+00          2.50323066E+00
         23.0000          4.52273559E+00          5.88939025E+00          2.55818603E+00
         24.0000          4.57226343E+00          6.09794977E+00          2.61301552E+00
         25.0000          4.62355694E+00          6.30651504E+00          2.66773462E+00
         26.0000          4.67641811E+00          6.51508432E+00          2.72235640E+00
         27.0000          4.73067707E+00          6.72365616E+00          2.77689197E+00
         28.0000          4.78618732E+00          6.93222933E+00          2.83135078E+00
         29.0000          4.84282176E+00          7.14080282E+00          2.88574087E+00
         30.0000          4.90046963E+00          7.34937576E+00          2.94006916E+00
         31.0000          4.95903393E+00          7.55794742E+00          2.99434158E+00
         32.0000          5.01842938E+00          7.76651719E+00          3.04856323E+00
         33.0000          5.07858067E+00          7.97508455E+00          3.10273854E+00
         34.0000          5.13942104E+00          8.18364905E+00          3.15687134E+00
         35.0000          5.20089113E+00          8.39221032E+00          3.21096494E+00
         36.0000          5.26293799E+00          8.60076805E+00          3.26502226E+00
         37.0000          5.32551418E+00          8.80932196E+00          3.31904584E+00
         38.0000          5.38857716E+00          9.01787183E+00          3.37303788E+00
         39.0000          5.45208859E+00          9.22641747E+00          3.42700035E+00
         40.0000          5.51601390E+00          9.43495873E+00          3.48093497E+00
         41.0000          5.58032178E+00          9.64349546E+00          3.53484326E+00
         42.0000          5.64498385E+00          9.85202756E+00          3.58872656E+00
         43.0000          5.70997432E+00          1.00605549E+01          3.64258608E+00
         44.0000          5.77526967E+00          1.02690775E+01          3.69642287E+00
         45.0000          5.84084845E+00          1.04775952E+01          3.75023790E+00
         46.0000          5.90669105E+00          1.06861081E+01          3.80403201E+00
         47.0000          5.97277948E+00          1.08946160E+01          3.85780596E+00
         48.0000          6.03909724E+00          1.11031189E+01          3.91156046E+00
         49.0000          6.10562916E+00          1.13116169E+01          3.96529611E+00
         50.0000          6.17236128E+00          1.15201099E+01          4.01901349E+00
         51.0000          6.23928070E+00          1.17285979E+01          4.07271310E+00
         52.0000          6.30637553E+00          1.19370810E+01          4.12639542E+00
         53.0000          6.37363476E+00          1.21455591E+01          4.18006087E+00
         54.0000          6.44104819E+00          1.23540322E+01          4.23370984E+00
         55.0000          6.50860636E+00          1.25625004E+01          4.28734268E+00
         56.0000          6.57630051E+00          1.27709637E+01          4.34095974E+00
         57.0000          6.64412246E+00          1.29794220E+01          4.39456131E+00
         58.0000          6.71206461E+00          1.31878755E+01          4.44814768E+00
         59.0000          6.78011989E+00          1.33963242E+01          4.50171912E+00
         60.0000          6.84828170E+00          1.36047680E+01          4.55527587E+00
         61.0000          6.91654386E+00          1.38132071E+01          4.60881816E+00
         62.0000          6.98490061E+00          1.40216414E+01          4.66234621E+00
         63.0000          7.05334656E+00          1.42300709E+01          4.71586022E+00
         64.0000          7.12187666E+00          1.44384958E+01          4.76936039E+00
         65.0000          7.19048618E+00          1.46469160E+01          4.82284689E+00
         66.0000          7.25917067E+00          1.48553316E+01          4.87631990E+00
         67.0000          7.32792597E+00          1.50637426E+01          4.92977959E+00
         68.0000          7.39674816E+00          1.52721491E+01          4.98322611E+00
         69.0000          7.46563355E+00          1.54805510E+01          5.03665961E+00
         70.0000          7.53457868E+00          1.56889484E+01          5.09008024E+00
         71.0000          7.60358028E+00          1.58973414E+01          5.14348813E+00
         72.0000          7.67263527E+00          1.61057300E+01          5.19688341E+00
         73.0000          7.74174075E+00          1.63141142E+01          5.25026622E+00
         74.0000          7.81089399E+00          1.65224940E+01          5.30363668E+00
         75.0000          7.88009239E+00          1.67308696E+01          5.35699491E+00
         76.0000          7.94933351E+00          1.69392408E+01          5.41034103E+00
         77.0000          8.01861505E+00          1.71476079E+01          5.46367514E+00
         78.0000          8.08793480E+00          1.73559707E+01          5.51699736E+00
         79.0000          8.15729072E+00          1.75643293E+01          5.57030779E+00
         80.0000          8.22668082E+00          1.77726838E+01          5.62360654E+00
         81.0000          8.29610327E+00          1.79810341E+01          5.67689371E+00
         82.0000          8.36555629E+00          1.81893804E+01          5.73016940E+00
         83.0000          8.43503821E+00          1.83977227E+01          5.78343371E+00
         84.0000          8.50454746E+00          1.86060609E+01          5.83668673E+00
         85.0000          8.57408252E+00          1.88143952E+01          5.88992856E+00
         86.0000          8.64364197E+00          1.90227255E+01          5.94315928E+00
         87.0000          8.71322444E+00          1.92310519E+01          5.99637899E+00
         88.0000          8.78282865E+00          1.94393744E+01          6.04958777E+00
         89.0000          8.85245337E+00          1.96476930E+01          6.10278572E+00
         90.0000          8.92209742E+00          1.98560078E+01          6.15597291E+00
         91.0000          8.99175970E+00          2.00643188E+01          6.20914943E+00
         92.0000          9.06143914E+00          2.02726261E+01          6.26231537E+00
         93.0000          9.13113474E+00          2.04809296E+01          6.31547080E+00
         94.0000          9.20084553E+00          2.06892293E+01          6.36861580E+00
         95.0000          9.27057059E+00          2.08975254E+01          6.42175046E+00
         96.0000          9.34030906E+00          2.11058178E+01          6.47487486E+00
         97.0000          9.41006009E+00          2.13141066E+01          6.52798906E+00
         98.0000          9.47982289E+00          2.15223918E+01          6.58109314E+00
         99.0000          9.54959671E+00          2.17306734E+01          6.63418719E+00
        100.0000          9.61938081E+00          2.19389514E+01          6.68727126E+00
        110.0000          1.03176492E+01          2.40215414E+01          7.21757948E+00
        120.0000          1.10163469E+01          2.61038009E+01          7.74696610E+00
        130.0000          1.17151152E+01          2.81857497E+01          8.27549241E+00
        140.0000          1.24137186E+01          3.02674052E+01          8.80321365E+00
        150.0000          1.31120017E+01          3.23487819E+01          9.33017978E+00
        160.0000          1.38098617E+01          3.44298929E+01          9.85643610E+00
        170.0000          1.45072314E+01          3.65107495E+01          1.03820238E+01
        180.0000          1.52040684E+01          3.85913614E+01          1.09069804E+01
        190.0000          1.59003469E+01          4.06717376E+01          1.14313401E+01
        200.0000          1.65960532E+01          4.27518858E+01          1.19551342E+01
        210.0000          1.72911821E+01          4.48318129E+01          1.24783913E+01
        220.0000          1.79857339E+01          4.69115253E+01          1.30011378E+01
        230.0000          1.86797135E+01          4.89910285E+01          1.35233980E+01
        240.0000          1.93731283E+01          5.10703277E+01          1.40451941E+01
        250.0000          2.00659881E+01          5.31494274E+01          1.45665468E+01
        260.0000          2.07583037E+01          5.52283319E+01          1.50874753E+01
        270.0000          2.14500869E+01          5.73070450E+01          1.56079972E+01
        280.0000          2.21413499E+01          5.93855702E+01          1.61281291E+01
        287.9990          2.26939252E+01          6.10480495E+01          1.65439121E+01
        288.0010          2.26940633E+01          6.10484652E+01          1.65440160E+01
        290.0000          2.28321053E+01          6.14639108E+01          1.66478862E+01
        300.0000          2.35223656E+01          6.35420698E+01          1.71672830E+01
        310.0000          2.42121434E+01          6.56200500E+01          1.76863327E+01
        320.0000          2.49014508E+01          6.76978538E+01          1.82050479E+01
        330.0000          2.55903000E+01          6.97754838E+01          1.87234403E+01
        340.0000          2.62787028E+01          7.18529420E+01          1.92415210E+01
        350.0000          2.69666704E+01          7.39302305E+01          1.97593003E+01
