#Energy      C   H  Total
          0.1000          5.84716772E+01          1.22314716E+00          1.19808487E+00
          0.2000          3.23013732E+01          1.12688289E+00          1.08889512E+00
          0.3000          2.31868706E+01          1.09600403E+00          1.04653605E+00
          0.4000          1.84805988E+01          1.08527001E+00          1.02507278E+00
          0.5000          1.55821762E+01          1.08375756E+00          1.01328264E+00
          0.6000          1.36066591E+01          1.08734775E+00          1.00688467E+00
          0.7000          1.21681504E+01          1.09410142E+00          1.00384089E+00
          0.8000          1.10707465E+01          1.10297193E+00          1.00303968E+00
          0.9000          1.02041153E+01          1.11333895E+00          1.00381576E+00
          1.0000          9.50122592E+00          1.12480877E+00          1.00574321E+00
          2.0000          6.19441897E+00          1.26671495E+00          1.05165826E+00
          3.0000          5.02274206E+00          1.42594898E+00          1.11063996E+00
          4.0000          4.42764193E+00          1.59046535E+00          1.17013718E+00
          5.0000          4.07595357E+00          1.75734640E+00          1.22792628E+00
          6.0000          3.85123726E+00          1.92549982E+00          1.28369295E+00
          7.0000          3.70165960E+00          2.09441730E+00          1.33759783E+00
          8.0000          3.60046078E+00          2.26382837E+00          1.38990849E+00
          9.0000          3.53235539E+00          2.43357531E+00          1.44089050E+00
         10.0000          3.48794412E+00          2.60355976E+00          1.49077652E+00
         11.0000          3.46111251E+00          2.77371718E+00          1.53976094E+00
         12.0000          3.44770233E+00          2.94400349E+00          1.58800295E+00
         13.0000          3.44478209E+00          3.11438758E+00          1.63563181E+00
         14.0000          3.45022276E+00          3.28484688E+00          1.68275223E+00
         15.0000          3.46243894E+00          3.45536470E+00          1.72944910E+00
         16.0000          3.48022459E+00          3.62592840E+00          1.77579137E+00
         17.0000          3.50264526E+00          3.79652827E+00          1.82183527E+00
         18.0000          3.52896518E+00          3.96715678E+00          1.86762678E+00
         19.0000          3.55859681E+00          4.13780797E+00          1.91320372E+00
         20.0000          3.59106508E+00          4.30847709E+00          1.95859726E+00
         21.0000          3.62598155E+00          4.47916033E+00          2.00383324E+00
         22.0000          3.66302542E+00          4.64985461E+00          2.04893317E+00
         23.0000          3.70192932E+00          4.82055739E+00          2.09391500E+00
         24.0000          3.74246863E+00          4.99126659E+00          2.13879379E+00
         25.0000          3.78445316E+00          5.16198050E+00          2.18358222E+00
         26.0000          3.82772085E+00          5.33269770E+00          2.22829099E+00
         27.0000          3.87213265E+00          5.50341698E+00          2.27292921E+00
         28.0000          3.91756865E+00          5.67413737E+00          2.31750458E+00
         29.0000          3.96392482E+00          5.84485801E+00          2.36202372E+00
         30.0000          4.01111050E+00          6.01557820E+00          2.40649227E+00
         31.0000          4.05904629E+00          6.18629734E+00          2.45091509E+00
         32.0000          4.10766239E+00          6.35701494E+00          2.49529635E+00
         33.0000          4.15689715E+00          6.52773056E+00          2.53963968E+00
         34.0000          4.20669594E+00          6.69844384E+00          2.58394822E+00
         35.0000          4.25701016E+00          6.86915448E+00          2.62822467E+00
         36.0000          4.30779648E+00          7.03986222E+00          2.67247143E+00
         37.0000          4.35901607E+00          7.21056684E+00          2.71669056E+00
         38.0000          4.41063409E+00          7.38126815E+00          2.76088389E+00
         39.0000          4.46261919E+00          7.55196599E+00          2.80505301E+00
