#Energy      Si   N  Total
          0.1000          1.09443371E+03          8.81880813E+01          8.16118980E+01
          0.2000          5.58624278E+02          4.75790352E+01          4.38447029E+01
          0.3000          3.78336079E+02          3.35775933E+01          3.08404791E+01
          0.4000          2.87542011E+02          2.63989381E+01          2.41790814E+01
          0.5000          2.32735439E+02          2.20021886E+01          2.01018164E+01
          0.6000          1.96003601E+02          1.90188877E+01          1.73366539E+01
          0.7000          1.69641344E+02          1.68546929E+01          1.53314398E+01
          0.8000          1.49783499E+02          1.52089322E+01          1.38069793E+01
          0.9000          1.34276366E+02          1.39127913E+01          1.26065840E+01
          1.0000          1.21824175E+02          1.28639962E+01          1.16353627E+01
          2.0000          6.50266555E+01          7.95989045E+00          7.09178723E+00
          3.0000          4.56241471E+01          6.22627764E+00          5.47861678E+00
          4.0000          3.57576743E+01          5.33630323E+00          4.64335176E+00
          5.0000          2.97624932E+01          4.79908007E+00          4.13269925E+00
          6.0000          2.57267934E+01          4.44456019E+00          3.78982936E+00
          7.0000          2.28226970E+01          4.19755919E+00          3.54547422E+00
          8.0000          2.06325033E+01          4.01947526E+00          3.36410468E+00
          9.0000          1.89222685E+01          3.88836016E+00          3.22553999E+00
         10.0000          1.75505881E+01          3.79077057E+00          3.11743286E+00
         11.0000          1.64268650E+01          3.71799108E+00          3.03178823E+00
         12.0000          1.54903202E+01          3.66411234E+00          2.96319264E+00
         13.0000          1.46986277E+01          3.62497934E+00          2.90784569E+00
         14.0000          1.40213877E+01          3.59758149E+00          2.86299864E+00
         15.0000          1.34361908E+01          3.57968163E+00          2.82661295E+00
         16.0000          1.29261474E+01          3.56958110E+00          2.79714421E+00
         17.0000          1.24782812E+01          3.56596596E+00          2.77340068E+00
         18.0000          1.20824551E+01          3.56780318E+00          2.75444794E+00
         19.0000          1.17306319E+01          3.57426901E+00          2.73954300E+00
         20.0000          1.14163560E+01          3.58469817E+00          2.72808764E+00
         21.0000          1.11343814E+01          3.59854728E+00          2.71959491E+00
         22.0000          1.08803998E+01          3.61536803E+00          2.71366443E+00
         23.0000          1.06508396E+01          3.63478713E+00          2.70996404E+00
         24.0000          1.04427144E+01          3.65649118E+00          2.70821592E+00
         25.0000          1.02535074E+01          3.68021505E+00          2.70818601E+00
         26.0000          1.00810821E+01          3.70573291E+00          2.70967571E+00
         27.0000          9.92361338E+00          3.73285117E+00          2.71251550E+00
         28.0000          9.77953190E+00          3.76140289E+00          2.71655983E+00
         29.0000          9.64748116E+00          3.79124334E+00          2.72168305E+00
         30.0000          9.52628232E+00          3.82224643E+00          2.72777617E+00
         31.0000          9.41490592E+00          3.85430177E+00          2.73474418E+00
         32.0000          9.31244891E+00          3.88731230E+00          2.74250395E+00
         33.0000          9.21811578E+00          3.92119235E+00          2.75098237E+00
         34.0000          9.13120292E+00          3.95586599E+00          2.76011499E+00
         35.0000          9.05108574E+00          3.99126571E+00          2.76984471E+00
         36.0000          8.97720779E+00          4.02733125E+00          2.78012080E+00
         37.0000          8.90907173E+00          4.06400869E+00          2.79089806E+00
         38.0000          8.84623166E+00          4.10124961E+00          2.80213606E+00
         39.0000          8.78828661E+00          4.13901042E+00          2.81379857E+00
         40.0000          8.73487498E+00          4.17725177E+00          2.82585299E+00
