#Energy      Tc  Total
          0.1000          2.24961764E+04          2.24961764E+04
          0.2000          1.12732902E+04          1.12732902E+04
          0.3000          7.52846404E+03          7.52846404E+03
          0.4000          5.65455483E+03          5.65455483E+03
          0.5000          4.52944641E+03          4.52944641E+03
          0.6000          3.77892371E+03          3.77892371E+03
          0.7000          3.24254430E+03          3.24254430E+03
          0.8000          2.84005813E+03          2.84005813E+03
          0.9000          2.52686727E+03          2.52686727E+03
          1.0000          2.27620482E+03          2.27620482E+03
          2.0000          1.14639261E+03          1.14639261E+03
          3.0000          7.68619665E+02          7.68619665E+02
          4.0000          5.79292501E+02          5.79292501E+02
          5.0000          4.65477493E+02          4.65477493E+02
          6.0000          3.89475256E+02          3.89475256E+02
          7.0000          3.35108929E+02          3.35108929E+02
          8.0000          2.94281213E+02          2.94281213E+02
          9.0000          2.62489132E+02          2.62489132E+02
         10.0000          2.37028420E+02          2.37028420E+02
         11.0000          2.16176710E+02          2.16176710E+02
         12.0000          1.98784836E+02          1.98784836E+02
         13.0000          1.84056617E+02          1.84056617E+02
         14.0000          1.71422943E+02          1.71422943E+02
         15.0000          1.60466180E+02          1.60466180E+02
         16.0000          1.50872898E+02          1.50872898E+02
         17.0000          1.42403261E+02          1.42403261E+02
         18.0000          1.34870621E+02          1.34870621E+02
         19.0000          1.28127535E+02          1.28127535E+02
         20.0000          1.22055984E+02          1.22055984E+02
         21.0000          1.16560375E+02          1.16560375E+02
         22.0000          1.11562457E+02          1.11562457E+02
         23.0000          1.06997553E+02          1.06997553E+02
         24.0000          1.02811738E+02          1.02811738E+02
         25.0000          9.89596953E+01          9.89596953E+01
         26.0000          9.54030597E+01          9.54030597E+01
         27.0000          9.21091364E+01          9.21091364E+01
         28.0000          8.90498882E+01          8.90498882E+01
         29.0000          8.62011347E+01          8.62011347E+01
         30.0000          8.35419106E+01          8.35419106E+01
         31.0000          8.10539485E+01          8.10539485E+01
         32.0000          7.87212576E+01          7.87212576E+01
         33.0000          7.65297801E+01          7.65297801E+01
         34.0000          7.44671072E+01          7.44671072E+01
         35.0000          7.25222439E+01          7.25222439E+01
         36.0000          7.06854136E+01          7.06854136E+01
         37.0000          6.89478933E+01          6.89478933E+01
         38.0000          6.73018753E+01          6.73018753E+01
         39.0000          6.57403504E+01          6.57403504E+01
         40.0000          6.42570082E+01          6.42570082E+01
         41.0000          6.28461519E+01          6.28461519E+01
         42.0000          6.15026258E+01          6.15026258E+01
         43.0000          6.02217521E+01          6.02217521E+01
         44.0000          5.89992769E+01          5.89992769E+01
         44.9990          5.78324653E+01          5.78324653E+01
         45.0000          5.78313233E+01          5.78313233E+01
         45.0010          5.78301815E+01          5.78301815E+01
         46.0000          5.67143505E+01          5.67143505E+01
         47.0000          5.56451180E+01          5.56451180E+01
         48.0000          5.46206543E+01          5.46206543E+01
         48.9990          5.36391924E+01          5.36391924E+01
         49.0000          5.36382301E+01          5.36382301E+01
         49.0010          5.36372678E+01          5.36372678E+01
         50.0000          5.26953333E+01          5.26953333E+01
         51.0000          5.17896484E+01          5.17896484E+01
         52.0000          5.09190375E+01          5.09190375E+01
         53.0000          5.00815234E+01          5.00815234E+01
         54.0000          4.92752747E+01          4.92752747E+01
         55.0000          4.84985932E+01          4.84985932E+01
         56.0000          4.77499011E+01          4.77499011E+01
         57.0000          4.70277314E+01          4.70277314E+01
         58.0000          4.63307176E+01          4.63307176E+01
         59.0000          4.56575856E+01          4.56575856E+01
         60.0000          4.50071461E+01          4.50071461E+01
