#Energy      Te  Total
          0.1000          1.13548217E+05          1.13548217E+05
          0.2000          5.68611127E+04          5.68611127E+04
          0.3000          3.79520444E+04          3.79520444E+04
          0.4000          2.84923328E+04          2.84923328E+04
          0.5000          2.28138651E+04          2.28138651E+04
          0.6000          1.90266602E+04          1.90266602E+04
          0.7000          1.63205032E+04          1.63205032E+04
          0.8000          1.42901869E+04          1.42901869E+04
          0.9000          1.27105457E+04          1.27105457E+04
          1.0000          1.14464521E+04          1.14464521E+04
          2.0000          5.75167404E+03          5.75167404E+03
          3.0000          3.84934755E+03          3.84934755E+03
          4.0000          2.89664459E+03          2.89664459E+03
          5.0000          2.32425535E+03          2.32425535E+03
          6.0000          1.94221985E+03          1.94221985E+03
          7.0000          1.66905738E+03          1.66905738E+03
          8.0000          1.46399683E+03          1.46399683E+03
          9.0000          1.30437204E+03          1.30437204E+03
         10.0000          1.17657468E+03          1.17657468E+03
         11.0000          1.07193982E+03          1.07193982E+03
         12.0000          9.84687603E+02          9.84687603E+02
         13.0000          9.10814508E+02          9.10814508E+02
         14.0000          8.47459444E+02          8.47459444E+02
         15.0000          7.92523279E+02          7.92523279E+02
         16.0000          7.44430948E+02          7.44430948E+02
         17.0000          7.01977459E+02          7.01977459E+02
         18.0000          6.64225204E+02          6.64225204E+02
         19.0000          6.30433666E+02          6.30433666E+02
         20.0000          6.00010196E+02          6.00010196E+02
         21.0000          5.72474851E+02          5.72474851E+02
         22.0000          5.47434805E+02          5.47434805E+02
         23.0000          5.24565434E+02          5.24565434E+02
         24.0000          5.03596122E+02          5.03596122E+02
         25.0000          4.84299477E+02          4.84299477E+02
         26.0000          4.66483027E+02          4.66483027E+02
         27.0000          4.49982762E+02          4.49982762E+02
         28.0000          4.34658056E+02          4.34658056E+02
         29.0000          4.20387645E+02          4.20387645E+02
         30.0000          4.07066401E+02          4.07066401E+02
         31.0000          3.94602736E+02          3.94602736E+02
         32.0000          3.82916485E+02          3.82916485E+02
         33.0000          3.71937183E+02          3.71937183E+02
         34.0000          3.61602636E+02          3.61602636E+02
         35.0000          3.51857744E+02          3.51857744E+02
         36.0000          3.42653516E+02          3.42653516E+02
         37.0000          3.33946248E+02          3.33946248E+02
         38.0000          3.25696825E+02          3.25696825E+02
         39.0000          3.17870134E+02          3.17870134E+02
         40.0000          3.10434568E+02          3.10434568E+02
         41.0000          3.03361596E+02          3.03361596E+02
         42.0000          2.96625397E+02          2.96625397E+02
         43.0000          2.90202548E+02          2.90202548E+02
         44.0000          2.84071751E+02          2.84071751E+02
         45.0000          2.78213595E+02          2.78213595E+02
         45.9990          2.72615836E+02          2.72615836E+02
         46.0000          2.72610355E+02          2.72610355E+02
         46.0010          2.72604874E+02          2.72604874E+02
         47.0000          2.67245809E+02          2.67245809E+02
         47.9990          2.62110120E+02          2.62110120E+02
         48.0000          2.62105087E+02          2.62105087E+02
         48.0010          2.62100053E+02          2.62100053E+02
         49.0000          2.57174525E+02          2.57174525E+02
         50.0000          2.52441555E+02          2.52441555E+02
         51.0000          2.47894588E+02          2.47894588E+02
         52.0000          2.43522928E+02          2.43522928E+02
         53.0000          2.39316682E+02          2.39316682E+02
         54.0000          2.35266688E+02          2.35266688E+02
         55.0000          2.31364449E+02          2.31364449E+02
