#Energy      Zn   O  Total
          0.1000          1.20857074E+04          1.55784614E+02          1.53802107E+02
          0.2000          6.07063449E+03          8.26855291E+01          8.15744384E+01
          0.3000          4.06137518E+03          5.76597855E+01          5.68526424E+01
          0.4000          3.05510705E+03          4.48940141E+01          4.42438619E+01
          0.5000          2.45051136E+03          3.71068991E+01          3.65533889E+01
          0.6000          2.04695509E+03          3.18409382E+01          3.13532302E+01
          0.7000          1.75838183E+03          2.80317992E+01          2.75919336E+01
          0.8000          1.54173182E+03          2.51423639E+01          2.47389247E+01
          0.9000          1.37306694E+03          2.28717239E+01          2.24969826E+01
          1.0000          1.23801542E+03          2.10379391E+01          2.06864093E+01
          2.0000          6.28293850E+02          1.25124724E+01          1.22681521E+01
          3.0000          4.23790696E+02          9.51619694E+00          9.30720418E+00
          4.0000          3.21068163E+02          7.97472244E+00          7.78144612E+00
          5.0000          2.59203642E+02          7.03697271E+00          6.85097935E+00
          6.0000          2.17829713E+02          6.41013327E+00          6.22689283E+00
          7.0000          1.88195696E+02          5.96542829E+00          5.78214580E+00
          8.0000          1.65916598E+02          5.63702988E+00          5.45180438E+00
          9.0000          1.48551443E+02          5.38764869E+00          5.19908867E+00
         10.0000          1.34632956E+02          5.19451830E+00          5.00154463E+00
         11.0000          1.23225823E+02          5.04292074E+00          4.84465693E+00
         12.0000          1.13705501E+02          4.92290161E+00          4.71860854E+00
         13.0000          1.05638966E+02          4.82747737E+00          4.61651251E+00
         14.0000          9.87164690E+01          4.75159813E+00          4.53338893E+00
         15.0000          9.27105553E+01          4.69151810E+00          4.46554404E+00
         16.0000          8.74504111E+01          4.64439783E+00          4.41017799E+00
         17.0000          8.28052524E+01          4.60804417E+00          4.36512836E+00
         18.0000          7.86732371E+01          4.58073527E+00          4.32869762E+00
         19.0000          7.49738715E+01          4.56109974E+00          4.29953391E+00
         20.0000          7.16426897E+01          4.54803130E+00          4.27654695E+00
         21.0000          6.86274494E+01          4.54062730E+00          4.25884736E+00
         22.0000          6.58853630E+01          4.53814372E+00          4.24570233E+00
         23.0000          6.33810490E+01          4.53996158E+00          4.23650245E+00
         24.0000          6.10849946E+01          4.54556161E+00          4.23073675E+00
         25.0000          5.89723858E+01          4.55450484E+00          4.22797360E+00
         26.0000          5.70222070E+01          4.56641761E+00          4.22784584E+00
         27.0000          5.52165403E+01          4.58097978E+00          4.23003921E+00
         28.0000          5.35400146E+01          4.59791545E+00          4.23428320E+00
         29.0000          5.19793676E+01          4.61698554E+00          4.24034369E+00
         30.0000          5.05230962E+01          4.63798183E+00          4.24801709E+00
         31.0000          4.91611734E+01          4.66072210E+00          4.25712557E+00
         32.0000          4.78848192E+01          4.68504622E+00          4.26751314E+00
         33.0000          4.66863117E+01          4.71081286E+00          4.27904244E+00
         34.0000          4.55588327E+01          4.73789680E+00          4.29159211E+00
         35.0000          4.44963388E+01          4.76618672E+00          4.30505454E+00
         36.0000          4.34934543E+01          4.79558330E+00          4.31933402E+00
         37.0000          4.25453816E+01          4.82599765E+00          4.33434523E+00
         38.0000          4.16478250E+01          4.85734999E+00          4.35001185E+00
         39.0000          4.07969269E+01          4.88956846E+00          4.36626547E+00
         40.0000          3.99892134E+01          4.92258823E+00          4.38304463E+00
