#Energy      Zn   S  Total
          0.1000          1.97169727E+04          2.42516874E+03          2.15954658E+03
          0.2000          9.90380871E+03          1.23201547E+03          1.09571104E+03
          0.3000          6.62584495E+03          8.31402000E+02          7.38709711E+02
          0.4000          4.98419001E+03          6.29977485E+02          5.59286393E+02
          0.5000          3.99783512E+03          5.08554584E+02          4.51163239E+02
          0.6000          3.33946174E+03          4.27271596E+02          3.78804927E+02
          0.7000          2.86867499E+03          3.68996413E+02          3.26942006E+02
          0.8000          2.51522590E+03          3.25141357E+02          2.87921909E+02
          0.9000          2.24006113E+03          2.90924528E+02          2.57484164E+02
          1.0000          2.01973416E+03          2.63470688E+02          2.33067457E+02
          2.0000          1.02501676E+03          1.38604701E+02          1.22094810E+02
          3.0000          6.91384402E+02          9.61600833E+01          8.44188270E+01
          4.0000          5.23799888E+02          7.46433937E+01          6.53331777E+01
          5.0000          4.22872319E+02          6.15960201E+01          5.37646112E+01
          6.0000          3.55373695E+02          5.28245073E+01          4.59885424E+01
          7.0000          3.07027903E+02          4.65169513E+01          4.03965772E+01
          8.0000          2.70681137E+02          4.17609071E+01          3.61791571E+01
          9.0000          2.42351121E+02          3.80461992E+01          3.28838343E+01
         10.0000          2.19644100E+02          3.50649262E+01          3.02376569E+01
         11.0000          2.01034172E+02          3.26200906E+01          2.80660530E+01
         12.0000          1.85502444E+02          3.05797001E+01          2.62520956E+01
         13.0000          1.72342465E+02          2.88519449E+01          2.47144804E+01
         14.0000          1.61048903E+02          2.73709565E+01          2.33948933E+01
         15.0000          1.51250682E+02          2.60882291E+01          2.22504042E+01
         16.0000          1.42669130E+02          2.49672394E+01          2.12486964E+01
         17.0000          1.35090884E+02          2.39799523E+01          2.03649709E+01
         18.0000          1.28349795E+02          2.31044847E+01          1.95798751E+01
         19.0000          1.22314543E+02          2.23235012E+01          1.88780819E+01
         20.0000          1.16879957E+02          2.16230879E+01          1.82472926E+01
         21.0000          1.11960806E+02          2.09919459E+01          1.76775219E+01
         22.0000          1.07487287E+02          2.04208027E+01          1.71605775E+01
         23.0000          1.03401677E+02          1.99019762E+01          1.66896735E+01
         24.0000          9.96558273E+01          1.94290468E+01          1.62591408E+01
         25.0000          9.62092561E+01          1.89966075E+01          1.58642053E+01
         26.0000          9.30276780E+01          1.86000714E+01          1.55008182E+01
         27.0000          9.00818613E+01          1.82355214E+01          1.51655225E+01
         28.0000          8.73467287E+01          1.78995917E+01          1.48553486E+01
         29.0000          8.48006440E+01          1.75893742E+01          1.45677312E+01
         30.0000          8.24248407E+01          1.73023428E+01          1.43004425E+01
         31.0000          8.02029605E+01          1.70362925E+01          1.40515384E+01
         32.0000          7.81206793E+01          1.67892899E+01          1.38193147E+01
         33.0000          7.61653995E+01          1.65596324E+01          1.36022711E+01
         34.0000          7.43259976E+01          1.63458150E+01          1.33990815E+01
         35.0000          7.25926143E+01          1.61465017E+01          1.32085694E+01
         36.0000          7.09564796E+01          1.59605032E+01          1.30296874E+01
         37.0000          6.94097663E+01          1.57867565E+01          1.28615000E+01
         38.0000          6.79454664E+01          1.56243091E+01          1.27031689E+01
         39.0000          6.65572867E+01          1.54723046E+01          1.25539406E+01
         40.0000          6.52395596E+01          1.53299710E+01          1.24131362E+01
         41.0000          6.39871673E+01          1.51966105E+01          1.22801423E+01
         42.0000          6.27954766E+01          1.50715907E+01          1.21544031E+01
         43.0000          6.16602826E+01          1.49543374E+01          1.20354140E+01
         44.0000          6.05777608E+01          1.48443276E+01          1.19227158E+01
         45.0000          5.95444243E+01          1.47410842E+01          1.18158897E+01
         46.0000          5.85570879E+01          1.46441710E+01          1.17145527E+01
         47.0000          5.76128356E+01          1.45531884E+01          1.16183545E+01
         48.0000          5.67089932E+01          1.44677696E+01          1.15269733E+01
         49.0000          5.58431035E+01          1.43875773E+01          1.14401136E+01
         50.0000          5.50129046E+01          1.43123008E+01          1.13575031E+01
         51.0000          5.42163109E+01          1.42416535E+01          1.12788909E+01
         52.0000          5.34513965E+01          1.41753705E+01          1.12040451E+01
         53.0000          5.27163797E+01          1.41132066E+01          1.11327512E+01
         54.0000          5.20096103E+01          1.40549346E+01          1.10648105E+01
         55.0000          5.13295571E+01          1.40003434E+01          1.10000386E+01
         56.0000          5.06747978E+01          1.39492370E+01          1.09382641E+01
         57.0000          5.00440092E+01          1.39014328E+01          1.08793279E+01
